Idea Number,Channel,Theme,What are the challenges/issues raised?,What is the proposed solution?
1786,ذاتية,محور رقمنه الخدمات,غياب الشبابيك الخدماتية الرقمية,"احداث الشباك الوحيد الرقمي وتعميمه على كل المصالح
توفير خدمة الانترنت للشباب في كافة الفضاءات ومرافق القرب التابعة للجماعة
تعزيز قدرات الموارد البشرية والمنتخبين في مجال الرقمنة 
تخصيص وصلات اشهارية بلغة ميسرة وتعميمها عبر وسائل التواصل الاجتماعي للتعريف بخدمات الجماعة 
اشراك الوسائل السمعية البصرية في توعية المواطنين/ات 
اشراك النسيج الجمعوي في تعبئة وتحسيس المرتفقين/ات (مثلا نشر شهادات لمرتفقين/ات استفادوا من الخدمات الرقمية )
احداث تطبيقات رقمية ملائمة للهاتف النقال
دعم الشراكات مع جمعيات متخصصة في مجال الرقمنة
تعميم التوقيع الالكتروني في جميع الخدمات والوثائق الرقمية الصادرة عن الجماعة
وضع شاشات الكترونية في مداخل المرافق العمومية"
1789,ذاتية,محور رقمنه الخدمات,عدم ملائمة الكثير من البرمجيات الالكترونية مع الاجراءات الادارية اليومية,"احداث الشباك الوحيد الرقمي وتعميمه على كل المصالح
توفير خدمة الانترنت للشباب في كافة الفضاءات ومرافق القرب التابعة للجماعة
تعزيز قدرات الموارد البشرية والمنتخبين في مجال الرقمنة 
تخصيص وصلات اشهارية بلغة ميسرة وتعميمها عبر وسائل التواصل الاجتماعي للتعريف بخدمات الجماعة 
اشراك الوسائل السمعية البصرية في توعية المواطنين/ات 
اشراك النسيج الجمعوي في تعبئة وتحسيس المرتفقين/ات (مثلا نشر شهادات لمرتفقين/ات استفادوا من الخدمات الرقمية )
احداث تطبيقات رقمية ملائمة للهاتف النقال
دعم الشراكات مع جمعيات متخصصة في مجال الرقمنة
تعميم التوقيع الالكتروني في جميع الخدمات والوثائق الرقمية الصادرة عن الجماعة
وضع شاشات الكترونية في مداخل المرافق العمومية 
انهاء رقمنة الارشيف 
تعزيز رقمنة الحالة المدنية"
1791,ذاتية,محور المشاركة المواطنة,ضعف الانخراط في المرافق الجماعية الموجودة بالأحياء,"احداث خلية للتواصل مع الساكنة حول قضايا تطرح خلافات مع تعزيز التشاور واشراك الجمعيات في ذلك 
احداث كبسولات فيديو باللهجات واللغات المحلية لشرح كيفية عمل الجماعة ومجالات تدخلها واعطاء الامكانية للتفاعل والاقتراح للجمعيات والمواطنين/ات 
عقد لقاءات في الاحياء قصد التواصل والاستشارة والتحسيس مع اشراك الجمعيات ووداديات الاحياء 
انشاء فضاءات في الاحياء مخصصة لاستقبال اراء المواطنين/ات ومقترحاتهم 
دعم عمل هيأة المساواة وتكافؤ الفرص ومقاربة النوع وتعزيز موقعها كألية للحوار والتشاور 
الانفتاح على المدرسة من خلال احداث برامج للتربية على المشاركة المواطنة"
1792,ذاتية,محور المشاركة المواطنة,غياب الجمعيات المعنية بقضايا الشباب,"احداث خلية للتواصل مع الساكنة حول قضايا تطرح خلافات مع تعزيز التشاور واشراك الجمعيات في ذلك 
احداث كبسولات فيديو باللهجات واللغات المحلية لشرح كيفية عمل الجماعة ومجالات تدخلها واعطاء الامكانية للتفاعل والاقتراح للجمعيات والمواطنين/ات 
عقد لقاءات في الاحياء قصد التواصل والاستشارة والتحسيس مع اشراك الجمعيات ووداديات الاحياء 
انشاء فضاءات في الاحياء مخصصة لاستقبال اراء المواطنين/ات ومقترحاتهم 
دعم عمل هيأة المساواة وتكافؤ الفرص ومقاربة النوع وتعزيز موقعها كألية للحوار والتشاور 
الانفتاح على المدرسة من خلال احداث برامج للتربية على المشاركة المواطنة"
1793,ذاتية,محور المشاركة المواطنة,ضعف الحوار والتشاور ( مثلا مع الباعة المتجولين: عرقلة السير، مشكل النظافة، الحرفيون المتواجدون بمختلف مناطق المدينة وخصوصا الذين يزاولون حرفا مضرة بصحة الساكنة...),"احداث خلية للتواصل مع الساكنة حول قضايا تطرح خلافات مع تعزيز التشاور واشراك الجمعيات في ذلك 
احداث كبسولات فيديو باللهجات واللغات المحلية لشرح كيفية عمل الجماعة ومجالات تدخلها واعطاء الامكانية للتفاعل والاقتراح للجمعيات والمواطنين/ات 
عقد لقاءات في الاحياء قصد التواصل والاستشارة والتحسيس مع اشراك الجمعيات ووداديات الاحياء 
انشاء فضاءات في الاحياء مخصصة لاستقبال اراء المواطنين/ات ومقترحاتهم 
دعم عمل هيأة المساواة وتكافؤ الفرص ومقاربة النوع وتعزيز موقعها كألية للحوار والتشاور 
الانفتاح على المدرسة من خلال احداث برامج للتربية على المشاركة المواطنة"
1794,ذاتية,محور المشاركة المواطنة,ضعف اشراك المجتمع المدني في القضايا المرتبطة بالمهاجرين في وضعية غير قانونية,"احداث خلية للتواصل مع الساكنة حول قضايا تطرح خلافات مع تعزيز التشاور واشراك الجمعيات في ذلك 
احداث كبسولات فيديو باللهجات واللغات المحلية لشرح كيفية عمل الجماعة ومجالات تدخلها واعطاء الامكانية للتفاعل والاقتراح للجمعيات والمواطنين/ات 
عقد لقاءات في الاحياء قصد التواصل والاستشارة والتحسيس مع اشراك الجمعيات ووداديات الاحياء 
انشاء فضاءات في الاحياء مخصصة لاستقبال اراء المواطنين/ات ومقترحاتهم 
دعم عمل هيأة المساواة وتكافؤ الفرص ومقاربة النوع وتعزيز موقعها كألية للحوار والتشاور 
الانفتاح على المدرسة من خلال احداث برامج للتربية على المشاركة المواطنة"
1795,ذاتية,محورمواكبة مشاريع الجماعة والتعريف بها,ضعف تواصل المواطنين/ات والجماعة,"تأهيل وتطوير الموقع الالكتروني للجماعة بما يسمح بتمكين المواطنين/ات من المعلومات حول المشاريع المبرمجة أو التي في طور التنفيذ، الميزانيات المخصصة، المساطر ... 
تخصيص فضاء تفاعلي داخل الموقع الالكتروني خاص بتفاعل المواطنين/ات والجمعيات واعطاء المجال لهم لإبداء الرأي وتقديم المقترحات حول قضايا التنمية المحلية 
احداث شاشات الكترونية ولوحات اشهارية بإحياء المدينة للتعريف بأنشطة وبرامج الجماعة
احداث خلية بالجماعة تعنى بالتواصل والاعلام
تكوين أطر الجماعة في مجال التواصل 
خلق الشباك الوحيد بالجماعة
احداث مكتب التوجيه والاستقبال بالجماعة
فتح مكاتب للقرب/ملحقات بالأحياء من أجل تقريب الادارة من المواطنين/ات 
تخصيص فضاء للتواصل مع المواطنين/ات وجمعيات المجتمع المدني لإقامة التظاهرات الثقافية والاجتماعية"
1796,ذاتية,محورمواكبة مشاريع الجماعة والتعريف بها,الموقع الالكتروني للجماعة غير تفاعلي,"تأهيل وتطوير الموقع الالكتروني للجماعة بما يسمح بتمكين المواطنين/ات من المعلومات حول المشاريع المبرمجة أو التي في طور التنفيذ، الميزانيات المخصصة، المساطر ... 
تخصيص فضاء تفاعلي داخل الموقع الالكتروني خاص بتفاعل المواطنين/ات والجمعيات واعطاء المجال لهم لإبداء الرأي وتقديم المقترحات حول قضايا التنمية المحلية 
احداث شاشات الكترونية ولوحات اشهارية بإحياء المدينة للتعريف بأنشطة وبرامج الجماعة
احداث خلية بالجماعة تعنى بالتواصل والاعلام
تكوين أطر الجماعة في مجال التواصل 
خلق الشباك الوحيد بالجماعة
احداث مكتب التوجيه والاستقبال بالجماعة
فتح مكاتب للقرب/ملحقات بالأحياء من أجل تقريب الادارة من المواطنين/ات 
تخصيص فضاء للتواصل مع المواطنين/ات وجمعيات المجتمع المدني لإقامة التظاهرات الثقافية والاجتماعية"
1798,ذاتية,محورمواكبة مشاريع الجماعة والتعريف بها,عدم توفر الجماعة على مكتب الاستقبال والتوجيه,"تأهيل وتطوير الموقع الالكتروني للجماعة بما يسمح بتمكين المواطنين/ات من المعلومات حول المشاريع المبرمجة أو التي في طور التنفيذ، الميزانيات المخصصة، المساطر ... 
تخصيص فضاء تفاعلي داخل الموقع الالكتروني خاص بتفاعل المواطنين/ات والجمعيات واعطاء المجال لهم لإبداء الرأي وتقديم المقترحات حول قضايا التنمية المحلية 
احداث شاشات الكترونية ولوحات اشهارية بإحياء المدينة للتعريف بأنشطة وبرامج الجماعة
احداث خلية بالجماعة تعنى بالتواصل والاعلام
تكوين أطر الجماعة في مجال التواصل 
خلق الشباك الوحيد بالجماعة
احداث مكتب التوجيه والاستقبال بالجماعة
فتح مكاتب للقرب/ملحقات بالأحياء من أجل تقريب الادارة من المواطنين/ات 
تخصيص فضاء للتواصل مع المواطنين/ات وجمعيات المجتمع المدني لإقامة التظاهرات الثقافية والاجتماعية"
1800,ذاتية,محورمواكبة مشاريع الجماعة والتعريف بها,عدم توفر الجماعة على ملحقات ادارية تقرب خدماتها من المواطنين/ات,"تأهيل وتطوير الموقع الالكتروني للجماعة بما يسمح بتمكين المواطنين/ات من المعلومات حول المشاريع المبرمجة أو التي في طور التنفيذ، الميزانيات المخصصة، المساطر ... 
تخصيص فضاء تفاعلي داخل الموقع الالكتروني خاص بتفاعل المواطنين/ات والجمعيات واعطاء المجال لهم لإبداء الرأي وتقديم المقترحات حول قضايا التنمية المحلية 
احداث شاشات الكترونية ولوحات اشهارية بإحياء المدينة للتعريف بأنشطة وبرامج الجماعة
احداث خلية بالجماعة تعنى بالتواصل والاعلام
تكوين أطر الجماعة في مجال التواصل 
خلق الشباك الوحيد بالجماعة
احداث مكتب التوجيه والاستقبال بالجماعة
فتح مكاتب للقرب/ملحقات بالأحياء من أجل تقريب الادارة من المواطنين/ات 
تخصيص فضاء للتواصل مع المواطنين/ات وجمعيات المجتمع المدني لإقامة التظاهرات الثقافية والاجتماعية"
1801,ذاتية,رقمنة الخدمات,ضعف الموارد البشرية في مجال الرقمنة وغياب متخصصين في المجال لذا الجماعة,"تعزيز الولوج الى الخدمات الجماعية عبر الموقع الالكتروني
توسيع خدمة الانترنت لتشمل كافة تجهيزات ومرافق القرب
تعزيز قدرات الموارد البشرية والمنتخبين 
تعميم الرقمنة وتبسيط المساطر
تقوية التواصل مع الساكنة من خلال استعمال جميع اليات التواصل الاجتماعية واستخدام جميع اللغات واللهجات المستعملة محليا
احداث رقم اخضر لتلقي شكاوى ومقترحات المواطنين/ان 
تعميم استعمال المنصات الالكترونية وتبسيط الولوج اليها 
اشراك الجمعيات في التعريف بالشأن المحلي
احداث خلية اعلامية"
1803,ذاتية,رقمنة الخدمات,عدم تعميم رقمنة الخدمات,"تعزيز الولوج الى الخدمات الجماعية عبر الموقع الالكتروني
توسيع خدمة الانترنت لتشمل كافة تجهيزات ومرافق القرب
تعزيز قدرات الموارد البشرية والمنتخبين 
تعميم الرقمنة وتبسيط المساطر
تقوية التواصل مع الساكنة من خلال استعمال جميع اليات التواصل الاجتماعية واستخدام جميع اللغات واللهجات المستعملة محليا
احداث رقم اخضر لتلقي شكاوى ومقترحات المواطنين/ان 
تعميم استعمال المنصات الالكترونية وتبسيط الولوج اليها 
اشراك الجمعيات في التعريف بالشأن المحلي
احداث خلية اعلامية"
1805,ذاتية,رقمنة الخدمات,عدم معرفة الساكنة باختصاصات الجماعة,"تعزيز الولوج الى الخدمات الجماعية عبر الموقع الالكتروني
توسيع خدمة الانترنت لتشمل كافة تجهيزات ومرافق القرب
تعزيز قدرات الموارد البشرية والمنتخبين 
تعميم الرقمنة وتبسيط المساطر
تقوية التواصل مع الساكنة من خلال استعمال جميع اليات التواصل الاجتماعية واستخدام جميع اللغات واللهجات المستعملة محليا
احداث رقم اخضر لتلقي شكاوى ومقترحات المواطنين/ان 
تعميم استعمال المنصات الالكترونية وتبسيط الولوج اليها 
اشراك الجمعيات في التعريف بالشأن المحلي
احداث خلية اعلامية"
1807,ذاتية,رقمنة الخدمات,ضعف انخراط جمعيات المجتمع المدني في التعريف بخدمات الجماعة والتحسيس والتعريف بالموقع الالكتروني,"تعزيز الولوج الى الخدمات الجماعية عبر الموقع الالكتروني
توسيع خدمة الانترنت لتشمل كافة تجهيزات ومرافق القرب
تعزيز قدرات الموارد البشرية والمنتخبين 
تعميم الرقمنة وتبسيط المساطر
تقوية التواصل مع الساكنة من خلال استعمال جميع اليات التواصل الاجتماعية واستخدام جميع اللغات واللهجات المستعملة محليا
احداث رقم اخضر لتلقي شكاوى ومقترحات المواطنين/ان 
تعميم استعمال المنصات الالكترونية وتبسيط الولوج اليها 
اشراك الجمعيات في التعريف بالشأن المحلي
احداث خلية اعلامية"
1809,ذاتية,المشاركة المواطنة,عدم تعامل المواطن مع البوابات المتوفرة (شكايتي – وثيقتي),"تحديث الموقع الالكتروني للجماعة بالشكل الذي يسمح للمواطنين/ات بالتفاعل المبسط مع الجماعة وتقديم اقتراحات لها
احداث كبسولات فيديو باللهجات واللغات المحلية لشرح كيفية استعمال بوابتي شكايتي و وثيقتي 
عقد لقاءات مع جمعيات الاحياء قصد التواصل والاستشارة وكدلك اشراك هده الجمعيات في التواصل مع المواطنين/ات لإشراكهم في تجويد الخدمات الجماعية (النظافة – المحافظة على الفضاءات الخضراء والممتلكات العمومية ..)
تحسيس المواطنين/ات والجمعيات بأهمية تتبع الشأن المحلي من خلال الحضور في دورات ومواكبة عمل وأنشطة هذا الأخير
تنظيم دورات تكوينية للمنتخبين في كيفية تعزيز المشاركة المواطنة والتواصل مع المواطنين/ات. 
دعم عمل هيأة المساواة وتكافؤ الفرص ومقاربة النوع وتعزيز موقعها كألية للحوار والتشاور ودعم الديموقراطية التشاركية"
1810,ذاتية,المشاركة المواطنة,عدم قيام جمعيات الاحياء بالدور المنوط بها لتنظيم حملات تحسيسية وتوعوية حول المشاركة في التنمية المحلية,"تحديث الموقع الالكتروني للجماعة بالشكل الذي يسمح للمواطنين/ات بالتفاعل المبسط مع الجماعة وتقديم اقتراحات لها
احداث كبسولات فيديو باللهجات واللغات المحلية لشرح كيفية استعمال بوابتي شكايتي و وثيقتي 
عقد لقاءات مع جمعيات الاحياء قصد التواصل والاستشارة وكدلك اشراك هده الجمعيات في التواصل مع المواطنين/ات لإشراكهم في تجويد الخدمات الجماعية (النظافة – المحافظة على الفضاءات الخضراء والممتلكات العمومية ..)
تحسيس المواطنين/ات والجمعيات بأهمية تتبع الشأن المحلي من خلال الحضور في دورات ومواكبة عمل وأنشطة هذا الأخير
تنظيم دورات تكوينية للمنتخبين في كيفية تعزيز المشاركة المواطنة والتواصل مع المواطنين/ات. 
دعم عمل هيأة المساواة وتكافؤ الفرص ومقاربة النوع وتعزيز موقعها كألية للحوار والتشاور ودعم الديموقراطية التشاركية"
1811,ذاتية,المشاركة المواطنة,عدم حضور المواطن لدورات المجلس المفتوحة للعموم,"تحديث الموقع الالكتروني للجماعة بالشكل الذي يسمح للمواطنين/ات بالتفاعل المبسط مع الجماعة وتقديم اقتراحات لها
احداث كبسولات فيديو باللهجات واللغات المحلية لشرح كيفية استعمال بوابتي شكايتي و وثيقتي 
عقد لقاءات مع جمعيات الاحياء قصد التواصل والاستشارة وكدلك اشراك هده الجمعيات في التواصل مع المواطنين/ات لإشراكهم في تجويد الخدمات الجماعية (النظافة – المحافظة على الفضاءات الخضراء والممتلكات العمومية ..)
تحسيس المواطنين/ات والجمعيات بأهمية تتبع الشأن المحلي من خلال الحضور في دورات ومواكبة عمل وأنشطة هذا الأخير
تنظيم دورات تكوينية للمنتخبين في كيفية تعزيز المشاركة المواطنة والتواصل مع المواطنين/ات. 
دعم عمل هيأة المساواة وتكافؤ الفرص ومقاربة النوع وتعزيز موقعها كألية للحوار والتشاور ودعم الديموقراطية التشاركية"
1812,ذاتية,المشاركة المواطنة,عدم حضور المواطن لدورات المجلس المفتوحة للعموم,"تحديث الموقع الالكتروني للجماعة بالشكل الذي يسمح للمواطنين/ات بالتفاعل المبسط مع الجماعة وتقديم اقتراحات لها
احداث كبسولات فيديو باللهجات واللغات المحلية لشرح كيفية استعمال بوابتي شكايتي و وثيقتي 
عقد لقاءات مع جمعيات الاحياء قصد التواصل والاستشارة وكدلك اشراك هده الجمعيات في التواصل مع المواطنين/ات لإشراكهم في تجويد الخدمات الجماعية (النظافة – المحافظة على الفضاءات الخضراء والممتلكات العمومية ..)
تحسيس المواطنين/ات والجمعيات بأهمية تتبع الشأن المحلي من خلال الحضور في دورات ومواكبة عمل وأنشطة هذا الأخير
تنظيم دورات تكوينية للمنتخبين في كيفية تعزيز المشاركة المواطنة والتواصل مع المواطنين/ات. 
دعم عمل هيأة المساواة وتكافؤ الفرص ومقاربة النوع وتعزيز موقعها كألية للحوار والتشاور ودعم الديموقراطية التشاركية"
1813,ذاتية,المشاركة المواطنة,ضعف تواصل المنتخبين مع المواطنين,"تحديث الموقع الالكتروني للجماعة بالشكل الذي يسمح للمواطنين/ات بالتفاعل المبسط مع الجماعة وتقديم اقتراحات لها
احداث كبسولات فيديو باللهجات واللغات المحلية لشرح كيفية استعمال بوابتي شكايتي و وثيقتي 
عقد لقاءات مع جمعيات الاحياء قصد التواصل والاستشارة وكدلك اشراك هده الجمعيات في التواصل مع المواطنين/ات لإشراكهم في تجويد الخدمات الجماعية (النظافة – المحافظة على الفضاءات الخضراء والممتلكات العمومية ..)
تحسيس المواطنين/ات والجمعيات بأهمية تتبع الشأن المحلي من خلال الحضور في دورات ومواكبة عمل وأنشطة هذا الأخير
تنظيم دورات تكوينية للمنتخبين في كيفية تعزيز المشاركة المواطنة والتواصل مع المواطنين/ات. 
دعم عمل هيأة المساواة وتكافؤ الفرص ومقاربة النوع وتعزيز موقعها كألية للحوار والتشاور ودعم الديموقراطية التشاركية"
1816,ذاتية,التعريف ببرامج و أنشطة جهة العيون الساقية,موسمية عمل الهيئات الاستشارية؛,"التسريع بتفعيل الموقع الالكتروني خاص بالجهة؛
الحرص على الاشراك المنتظم للهيئات الاستشارية؛
تخصيص نافذة اعلامية تهتم بالتدخلات التنموية للجهة؛
تنظيم الأيام الإقليمية خاصة بالأبواب المفتوحة لتقديم حصيلة عمل الجهة
إعداد نشرات تعريفية خاصة بالتصميم الجهوي لإعداد التراب؛
إشراك الهيئات الاستشارية في تتبع وتقييم إنجاز المشاريع والبرامج؛
الاعتماد على آراء الفاعلين الترابيين بما فيهم المواطنين في تحديد الأولويات التنموية للجهة؛
تخصيص نافذة رقمية وصندوق لتقديم المقترحات."
1817,ذاتية,التعريف ببرامج و أنشطة جهة العيون الساقية,غياب التواصل مع وسائل الاعلام بالجهة؛,"التسريع بتفعيل الموقع الالكتروني خاص بالجهة؛
الحرص على الاشراك المنتظم للهيئات الاستشارية؛
تخصيص نافذة اعلامية تهتم بالتدخلات التنموية للجهة؛
تنظيم الأيام الإقليمية خاصة بالأبواب المفتوحة لتقديم حصيلة عمل الجهة
إعداد نشرات تعريفية خاصة بالتصميم الجهوي لإعداد التراب؛
إشراك الهيئات الاستشارية في تتبع وتقييم إنجاز المشاريع والبرامج؛
الاعتماد على آراء الفاعلين الترابيين بما فيهم المواطنين في تحديد الأولويات التنموية للجهة؛
تخصيص نافذة رقمية وصندوق لتقديم المقترحات."
1819,ذاتية,التعريف ببرامج و أنشطة جهة العيون الساقية,عدم نشر توجهات التصميم الجهوي لإعداد التراب SRAT,"التسريع بتفعيل الموقع الالكتروني خاص بالجهة؛
الحرص على الاشراك المنتظم للهيئات الاستشارية؛
تخصيص نافذة اعلامية تهتم بالتدخلات التنموية للجهة؛
تنظيم الأيام الإقليمية خاصة بالأبواب المفتوحة لتقديم حصيلة عمل الجهة
إعداد نشرات تعريفية خاصة بالتصميم الجهوي لإعداد التراب؛
إشراك الهيئات الاستشارية في تتبع وتقييم إنجاز المشاريع والبرامج؛
الاعتماد على آراء الفاعلين الترابيين بما فيهم المواطنين في تحديد الأولويات التنموية للجهة؛
تخصيص نافذة رقمية وصندوق لتقديم المقترحات."
1820,ذاتية,التعريف ببرامج و أنشطة جهة العيون الساقية,محدودية إشراك الهيئات الاستشارية في إعداد البرامج التنموية,"التسريع بتفعيل الموقع الالكتروني خاص بالجهة؛
الحرص على الاشراك المنتظم للهيئات الاستشارية؛
تخصيص نافذة اعلامية تهتم بالتدخلات التنموية للجهة؛
تنظيم الأيام الإقليمية خاصة بالأبواب المفتوحة لتقديم حصيلة عمل الجهة
إعداد نشرات تعريفية خاصة بالتصميم الجهوي لإعداد التراب؛
إشراك الهيئات الاستشارية في تتبع وتقييم إنجاز المشاريع والبرامج؛
الاعتماد على آراء الفاعلين الترابيين بما فيهم المواطنين في تحديد الأولويات التنموية للجهة؛
تخصيص نافذة رقمية وصندوق لتقديم المقترحات."
2728,الموقع,تقوية مشاركة المواطنين والمواطنات والمجتمع المدني,غياب اليات تفعيل المشاركة المواطنة والديمقراطية التشاركية على مستوى جمعيات المجتمع المدني، خاصة تقديم العرائض والملتمسات لسلطات المختصة,الرفع من قدرات الجهات الفاعلة في المجتمع المدني.
2729,الموقع,المواطنة والسلوك المدني,اعمال اليات الديمقراطية التشاركية والمشاركة المواطنة.,"الرفع من قدرات جمعيات المجتمع المدني 
تنظيم لقاءات تواصلية للتعريف ببرنامج عمل جماعة كلميم
خلق فضاءات عمومية للتشاور المدني 
دعم برامج ومشاريع جمعيات المجتمع المدني"
1823,ذاتية,رقمنة الخدمات,ضعف التغطية بشبكة الانترنت في أوساط العالم القروي,"تغطية العالم القروي بشبكة الانترنت ذات الصبيب العالي 
برمجة مشاريع تهم الأشخاص في وضعية إعاقة (تكوين اطر في مجال التواصل بلغة الإشارة، انجاز فيديوهات مصورة بمختلف لغات ولهجات المملكة) 
خلق شراكات مع وسائل الاعلام من اجل تحسيس المواطنين والمواطنات بادوار الجهة ومشاريعها التنموية
احداث بوابة الكترونية بجميع اللغات
احداث دليل الكتروني وورقي للتعريف بالمؤهلات التنموية للجهة.
احداث الية للاستشارة الالكترونية مع المقاولات والشباب حاملي أفكار مشاريع بالتنسيق مع وكالة الإنعاش وتشغيل الكفاءات من جهة، ومع التلاميذ والتلميذات الراغبين في الانخراط في التكوين المهني بالتنسيق مع مؤسسات التكوين المهني من جهة أخرى.
تفعيل مصلحة التواصل والاعلام.
تطعيم الإدارة بطاقم اداري تقني متخصص في الهندسة الإعلامية والمعلوماتية
التكوين في مجال الرقمنة
وضع استراتيجية للتواصل المباشر مع الأجانب والمواطنين خاصة فئتي المهاجرين والمواطنين المنحدرين من أقاليم غير ناطقة باللغة العربية واللهجة الحسانية"
1827,ذاتية,رقمنة الخدمات,ضعف التسويق الترابي للبرامج والمشاريع التنموية للجهة.,"تغطية العالم القروي بشبكة الانترنت ذات الصبيب العالي 
برمجة مشاريع تهم الأشخاص في وضعية إعاقة (تكوين اطر في مجال التواصل بلغة الإشارة، انجاز فيديوهات مصورة بمختلف لغات ولهجات المملكة) 
خلق شراكات مع وسائل الاعلام من اجل تحسيس المواطنين والمواطنات بادوار الجهة ومشاريعها التنموية
احداث بوابة الكترونية بجميع اللغات
احداث دليل الكتروني وورقي للتعريف بالمؤهلات التنموية للجهة.
احداث الية للاستشارة الالكترونية مع المقاولات والشباب حاملي أفكار مشاريع بالتنسيق مع وكالة الإنعاش وتشغيل الكفاءات من جهة، ومع التلاميذ والتلميذات الراغبين في الانخراط في التكوين المهني بالتنسيق مع مؤسسات التكوين المهني من جهة أخرى.
تفعيل مصلحة التواصل والاعلام.
تطعيم الإدارة بطاقم اداري تقني متخصص في الهندسة الإعلامية والمعلوماتية
التكوين في مجال الرقمنة
وضع استراتيجية للتواصل المباشر مع الأجانب والمواطنين خاصة فئتي المهاجرين والمواطنين المنحدرين من أقاليم غير ناطقة باللغة العربية واللهجة الحسانية"
1828,ذاتية,المشاركة المواطنة,غياب التواصل الرقمي على مستوى تيسير جعل برنامج التنمية الجهوية رهن إشارة المواطنات و المواطنين و الجمعيات و الهيئات الاستشارية أيضا,"تقوية التنسيق بين الجهة و الهيئات الاستشارية الثلاثة 
خلق آلية للتواصل بين هيئات الجماعات الترابية للجهة و الفعاليات المدنية على مستوى تراب الجهة 
وضع ضوابط تهم تنظيم العلاقات التواصلية للمنتخب و الهيئات
فك الارتباط بين ما هو سياسي وما هو مدني و الحرص على استقلالية الهيئات الاستشارية للجهة 
الرفع من قدرات فعاليات المجتمع المدني و الجمعيات في مجال تدبير العرائض .
إدراج الهيئات ضمن توجهات الهيكل التنظيمي للجهة و تخصيص مصالح تعنى بذلك 
تنظيم منتديات جهوية و إقليمية لتعزيز القوة الإقتراحية لفعاليات المجتمع المدني
انخراط جمعية جهات المغرب في المساهمة في تمويل التكوين الخاص بالهيئات.
فتح باب استشارات الكترونية مع المواطنين بخصوص توجهات برامج تنمية الجهة."
1831,ذاتية,المشاركة المواطنة,تحقيق عدالة مجالية في مجال التكوين الذي يهم الهيئات على مستوى جماعات أقاليم الجهة.,"تقوية التنسيق بين الجهة و الهيئات الاستشارية الثلاثة 
خلق آلية للتواصل بين هيئات الجماعات الترابية للجهة و الفعاليات المدنية على مستوى تراب الجهة 
وضع ضوابط تهم تنظيم العلاقات التواصلية للمنتخب و الهيئات
فك الارتباط بين ما هو سياسي وما هو مدني و الحرص على استقلالية الهيئات الاستشارية للجهة 
الرفع من قدرات فعاليات المجتمع المدني و الجمعيات في مجال تدبير العرائض .
إدراج الهيئات ضمن توجهات الهيكل التنظيمي للجهة و تخصيص مصالح تعنى بذلك 
تنظيم منتديات جهوية و إقليمية لتعزيز القوة الإقتراحية لفعاليات المجتمع المدني
انخراط جمعية جهات المغرب في المساهمة في تمويل التكوين الخاص بالهيئات."
1832,ذاتية,المشاركة المواطنة,الحاجة الى تفعيل دليل المساطر الخاص بالهيئات و خاصة هيئة المساواة و تكافؤ الفرص و مقاربة النوع و احترام مضامينه,"اضفاء الطابع الالزامي على دليل المساطر 
تقوية التنسيق بين الجهة و الهيئات الاستشارية الثلاثة 

وضع ضوابط تهم تنظيم العلاقات التواصلية للمنتخب و الهيئات
فك الارتباط بين ما هو سياسي وما هو مدني و الحرص على استقلالية الهيئات الاستشارية للجهة 
الرفع من قدرات فعاليات المجتمع المدني و الجمعيات في مجال تدبير العرائض .
إدراج الهيئات ضمن توجهات الهيكل التنظيمي للجهة و تخصيص مصالح تعنى بذلك 

انخراط جمعية جهات المغرب في المساهمة في تمويل التكوين الخاص بالهيئات."
1833,ذاتية,المشاركة المواطنة,عدم إلمام فعاليات المجتمع المدني بتقنيات تدبير العرائض,"خلق آلية للتواصل بين هيئات الجماعات الترابية للجهة و الفعاليات المدنية على مستوى تراب الجهة 
وضع ضوابط تهم تنظيم العلاقات التواصلية للمنتخب و الهيئات
فك الارتباط بين ما هو سياسي وما هو مدني و الحرص على استقلالية الهيئات الاستشارية للجهة 
الرفع من قدرات فعاليات المجتمع المدني و الجمعيات في مجال تدبير العرائض .

تنظيم منتديات جهوية و إقليمية لتعزيز القوة الإقتراحية لفعاليات المجتمع المدني
انخراط جمعية جهات المغرب في المساهمة في تمويل التكوين الخاص بالهيئات."
1835,ذاتية,المشاركة المواطنة,غياب التعاون و تبادل الخبرات بين الجهات و الجماعات للاستفادة من التجارب المتراكمة في مجال الديمقراطية التشاركية .,"خلق آلية للتواصل بين هيئات الجماعات الترابية للجهة و الفعاليات المدنية على مستوى تراب الجهة 
وضع ضوابط تهم تنظيم العلاقات التواصلية للمنتخب و الهيئات
فك الارتباط بين ما هو سياسي وما هو مدني و الحرص على استقلالية الهيئات الاستشارية للجهة 
الرفع من قدرات فعاليات المجتمع المدني و الجمعيات في مجال تدبير العرائض .
إدراج الهيئات ضمن توجهات الهيكل التنظيمي للجهة و تخصيص مصالح تعنى بذلك 
تنظيم منتديات جهوية و إقليمية لتعزيز القوة الإقتراحية لفعاليات المجتمع المدني
انخراط جمعية جهات المغرب في المساهمة في تمويل التكوين الخاص بالهيئات.
فتح باب استشارات الكترونية مع المواطنين بخصوص توجهات برامج تنمية الجهة."
