text,ground_truth,prediction,confidence
اغفال قيمة الجمعيات المكونة للهيئات في وضعها ضمن اهتمامات المجلس و في الدعم المادي,negative,negative,0.85
غياب تواصل حقيقي بين المواطن والجهة,negative,negative,0.85
غياب التواصل بين المجتمع المدني ومسؤولي الجهة,negative,negative,0.8
فئة كبيرة من المواطنين ليست لديهم معرفة وثقافة رقمية,negative,negative,0.7
عدم وجود خلية للتواصل,negative,negative,0.85
غياب اجتماعات للتنسيق والتوجيه وتبني خارطة طريق لكشاركة الجمعيات والهيئات والمواطنين في الشان الجهوي,neutral,negative,0.7
صعوبة الولوج للمعلومة,negative,negative,0.85
خلط وعدم فهم ادوار الهيئات الاستشارية,negative,negative,0.85
عدم معرفة اختصاصات الجهة ومراحل المخطط الجهوي للتنمية,negative,negative,0.7
تهميش المجتمع المدني,negative,negative,0.85
عدم تكافؤ الفرص,negative,negative,0.85
"هناك إشكاليتين أجدها هما : 
1- عدم الرد على الرسائل الالكترونية الموجهة لرئيس جماعة سلا ولا من طرف رؤساء الأقسام فيها , 
2-عدم وجود وثائق محينة لطلبات العروض 2023 في الموقع الالكتروني للجماعة و هذا ضرب في الحق الحصول على المعلومة",negative,negative,0.85
عدم تمكن المجتمع المدني من المشاركة في تدبير الشان الجهوي سواءا عبر إعداد اراء إستشارية من طرف الهيئات الإستشارية الثلاث او مذكرات إقتراحيةومن طرف باقي النسيج الجمعوي,negative,negative,0.85
absence d’éclairage sur la zone de sortie de la ville vers khenifra ainsi que l'amenagement de l'entree sud de la ville,neutral,negative,0.75
"إشكاليات التدبير المفوض
تأخر في التدخل
نقص المداومة
مشاكل التطهير السائل
نقص الفعالية في معالجة النفايات
تواجد معظم نقط تجميع النفايات وسط الأحياء

إشكاليات تدبير المقابر
مشاكل في تسيير المقابر
غياب المعلومة حول تدبير المقابر

مشاكل ملاعب القرب والمنتزهات
مشكل صيانة ملاعب القرب والمنتزهات",neutral,negative,0.85
"محور النقل 
شفافية الاطلاع على دفتر الشروط والتحملات
نقص في أسطول الحافلات
نقص في التغطية المجالية
غياب التجهيزات الضرورية في محطات الانتظار
عدم التعريف بالتطبيقات التواصلية لمسارات الحافلات",neutral,negative,0.85
موضوع الميزانية تشاركية,neutral,neutral,0.85
ضعف الإلمام والوعي بآليات الديمقراطية التشاركية,negative,negative,0.75
ضعف وعي المواطن بالتبليغ عن الخدمات اليومية,negative,negative,0.75
عدم إلمام المواطنين بمكونات الجماعة الترابية وباختصاصاتها,negative,negative,0.75
"عدم اعتماد منهجية تشاركية عند تنزيل برامج المهرجانات والاحتفالات الموسمية
 غياب عدالة مجالية, تغييب منطق تكافؤ الفرص في الاشتغال والمساهمة الفنية 
 عدم إشراك الفاعلين في المجال الثقافي عند اختيار المسؤولين عن إدارة المركبات الثقافية",negative,negative,0.9
هناك العديد من الممتلكات العمومية التي تتعرض للاتلاف لأسباب عدة نذكر على سبيل المثال لا الحصر التقادم، الاعطاب، . . . . . .,negative,neutral,0.85
ضعف الموارد المالية لتنزيل الاختصاص,neutral,negative,0.85
اندثار الفرق الفنية التقليدية,neutral,negative,0.8
عدم الاهتمام بالموروث التقافي الأمازيغي للجهة وغياب رموز ومجسمات تعبر عنى هوية الجهة,negative,negative,0.85
غياب استراتيجية لترميم المآثر التاريخية بالراشدية,negative,negative,0.75
عدم تفعيل المراكز الثقافية بالشكل المطلوب,negative,negative,0.85
انحباس الفعل الثقافي والأدبي لدى فئة قليلىة,negative,negative,0.8
احداث مركز طبي للادمان احداث دار العلوم لتشجيع الشباب على تبادل الافكار اسوة بمدينة وجدة,neutral,positive,0.85
نقص وهشاشة شبكة تطهير السائل,negative,negative,0.85
نقص وهشاشة شبكة الطرقات,negative,negative,0.85
نقص وهشاشة الإنارة العمومية وشبكات الاتصال,negative,negative,0.85
ضعف وهشاشة شبكة الطرقات,negative,negative,0.85
اشكالية العقار,neutral,neutral,0.7
العقار,neutral,neutral,0.9
غياب مناطق صناعية مجهزة,negative,negative,0.85
غياب الدراسة قبل انجاز المشاريع دراسة الجدوى,negative,negative,0.7
مشكل العدالة الجبائية,negative,negative,0.7
عدم اشراك الفئات المستهدفة احداث الاسواق النموذجية مثلا,neutral,negative,0.8
غياب الموارد البشرية المؤهلة,negative,negative,0.85
تأخير انجاز المشاريع,negative,negative,0.85
العزلة,negative,neutral,0.7
قلة الأطر الطبية والشبه الطبية,negative,negative,0.85
كثرة المتدخلين في النقل المدرسي,negative,negative,0.7
غياب خريطة اقليمية للنقل المدرسي,negative,negative,0.75
قلة الموارد المائيةبالإقليم وضعف التحسيس بخطورة أزمة نذرة المياه,negative,negative,0.85
الانقطاع المتكرر للمياه ببعض المناطق,negative,negative,0.85
ضعف المنشئات المائية,negative,negative,0.85
نقص برامج تغدية الفرشة المائية,negative,negative,0.85
غياب الثقة بين المسؤولين والمواطنين,negative,negative,0.85
"سأتكلم فقط على الجانب الجمعوي من ناحية الشفافية
كل الجمعيات هي جمعيات المجتمع المدني وهي مؤسسات تابعة للدولة تحت إدارة عدة أشخاص على رأسهم رئيس الجمعية
لكل جمعية برنامجها الخاص ولكن العائق الوحيد هو أن الجمعيات التي تم تأسيسها حديثا ليس لها الحق في منح الجماعة المقدمة كل سنة فكيف لهاته الجمعيات أن تقوم بأنشطتها المنصوص عليها بالقانون الأساسي وكيف تستمر وهي في انتظار سنتين من أجل الاستعداد لاستقبال الدعم فكيف لجمعية يحكمها قانون غير ربحي وأن الجمعية أسست لغرض غير ماذي فمن أين ستحصل جمعية جديدة على المنح للقدرة على تطبيق برامجها فأين الشفافية",neutral,neutral,0.75
Slm ntmnaw lkhir incha llah,neutral,positive,0.7
هناك قصور كبير في تفعيل الطابع الرسمي للأمازيغية على مستوى الجماعة.,negative,negative,0.85
لا نلاحظ تحسنا في مستوى تفعيل الطابع الرسمي للأمازيغية على مستوى الجماعة.,positive,negative,0.8
ضعف الحكامة على مستوى التدبير الاداري,negative,negative,0.85
الارتقاء بمدينة كلميم الى مصاف المدن الذكية,positive,positive,0.85
ليست اشكالية بل ساتطرق الى بعض النقاط ربما تغني حف الحصول على المعلومات,neutral,neutral,0.7
"ضعف البنية التحتية التكنولوجية: قد يفتقر الجماعات الترابية إلى البنية التحتية التكنولوجية اللازمة للوصول إلى المعلومات الحديثة

قد يكون من الصعب على الجماعة الوصول إلى مصادر معلومات محلية متاحة بشكل عام.",neutral,negative,0.85
"ضعف اعتماد الرقمنة داخل مصالح جماعة وجدة، 
وغياب إدارة رقمية بالمعنى الحقيقي للكلمة نظرا لضعف البنية التحتية، وقلة المعدات أو عدم وجودها، وتقادم البرامج وضعف التكوين",negative,negative,0.95
"ضعف التواصل مع المواطنين والمواطناتخاصة حول خدمات القرب 
الاختصاصات الداتية للجماعة 
المساطر الادارية",neutral,negative,0.85
"ضعف التواصل مع الفاعلين المؤسساتين وغياب قنوات التواصل مع المجتمع المدني 
والفاعل المؤسساتي",negative,negative,0.85
"عدم تفعيل قانون الحق في الحصول على المعلومة
ضعف طلب المعلومة من طرف المواطنين",negative,negative,0.85
"ضعف استعمال الرقمنة والتكنلوجيا الحديثة في تطوير التواصل الخارجي للجماعة
المنصة الالكترونية",negative,negative,0.7
عدم التواصل بين الجماعة والمجتمع المدني والتعامل بشكل ديموقراطي,negative,negative,0.85
عدم وعي المواطنين بمفهوم الديموقراطية التشاركية,negative,negative,0.7
الشروط التعجيزية للعرائض والملتمسات,neutral,negative,0.85
انعدام آليات وفضاءات أخرى لإشراك المواطنين في صنع السياسات العمومية,negative,negative,0.85
غياب الثقة بين المنتخبين والمواطنين,negative,negative,0.85
ضعف إيجاد شركاء داخل الجماعة وقلتها,negative,negative,0.85
عدم انفتاح الجماعة على تجاريب ناججة,negative,negative,0.85
غياب هيكلة متخصصة في تفعيل الشراكة والتعاون داخل الجماعة,negative,negative,0.85
ضعف ثقافة الشراكة والتعاون لدى المجتمع المدني,negative,negative,0.85
افتقار الخبرة والتكوين لدى المنتخبيين والفاعليين المحلييين,neutral,negative,0.85
ضعف الموارد المالية,negative,negative,0.85
صعوبة الولوج للمعلومة,negative,negative,0.85
تغليب التوافقات السياسية على الإنشغالات التنموية المحلية,neutral,negative,0.7
عدم معرفة الاختصاصلت والتداخل بينها بين الجماعة والفاعلين,negative,negative,0.75
"عدم وجود ضمانات لاستمرارية المبادرات الناجحة من طرف المجالس المتعاقبة
أي عدم اسمرار المرفق العام مع مجيئ مجلس جديد",neutral,negative,0.85
في ظل إنعدام التنشيط التربوي في المؤسسات التعليمية بالإقليم وكذالك إنشغال التلميذ بالدراسة وكذالك الهواتف الذكية ونسيان الدراسة,negative,negative,0.85
"يتشرف رئيس جمعية الفن والتعبير بالجهة الشرقية تحديات التي يواجهها الحي الحسني الوفاق كلوش هما: 1_الانارة_ الطروقات -إصلاح سويقة -زيادة في النقل الحضري بمدينة وجدة بخصوص خط 04 _ التهميش في الحي الحسني- البطالة - 
العنف ضد النساء- الإهتمام بالمرأة والطفل.",neutral,negative,0.75
إنشاء مدرسة عمومية بالحي الحسني ،إنشاء دار الشباب ؛ وكذلك اصلاح مشكيل باب سيدي عبد الوهاب .,neutral,positive,0.85
الحد مع كل أشكال التصرفات الغير حضارية التي تمس بجمالية المدينة و وتاريخها و القطع مع كل من يطمح إلى بدونتها،أول المبادرات وجود حل للعرابات المجرورة بالدواب و الكلاب الغير مرفوقة .,negative,negative,0.75
ضعف استثمار المؤهلات التراثية والطبيعية التي تزخر بها العرائش وضواحيها,negative,negative,0.85
تحديد مفهوم المدينة الذكية,neutral,neutral,0.9
من اهم الاشكالات المطروحة هي ضعف التكوين لدى المنتخبين و الموظفين في مجال التواصل السليم مع المواطنين و المواطنات,negative,negative,0.75
سلام تحية للجميع . بصفتي من ابناء مدينة وجدة وفاعل جمعوي واطار ومربي في احد مراكز الرعاية الاجتماعية...الإشكاليات المطروحة : تزايد ظاهرةالتشرد لذا الاطفال والكبار بالمدينة القديمة ومحيطها ...نقص في حافلات النقل الحضاري في مجموعة من الخطوط والاكتضاص.انتشار ظاهرة التعرض للمواطنين وسرقته عن طريق التهديد.........غياب المراقبة للاثمنة الغذائية والفلاحية،،،،,negative,negative,0.85
تتشرف جمعية الفن والتعبير بالجهة الشرقية بمدينة وجدة حول موضوع التنشيط الثقافي والفني والترفيهي في ساحات العمومية,neutral,positive,0.75
عدم المام المواطن العادي بكيفيةاستخدام المنصات الرقمية كشكايو وشفافية ومكتب الضبط الرقمي,neutral,negative,0.75
استغلال الموار المائية بشكل مفرط,negative,negative,0.85
"- الوضعية غير اللائقة لمقابر مدينة الجديدة
- وضعيةحديقة أحمد شوقي المجاورة لبناية لاراديج",negative,negative,0.85
"1 _ تجمع كبار السن في الشارع للعب الضامة 
2 _تنامي فئة المتقاعدين .
3 _ انتشار المخدرات في صفوف الشباب وخاصة التلاميذ",negative,negative,0.85
ضعف في البنية التحتية للمدينة وجماليتها,negative,negative,0.85
خطورة بعض المدارات الطرقية,negative,negative,0.8
"استمرار مشاكل قنوات الواد الحار في مجموعة من المنازل بعد تجديد القنوات الكبرى لتصريف المياه العادمة بحي لابيطا الجديدة (مدينة الرشيدية) 
غياب طرق بنفس الحي
أرصفة قديمة ومشوهة بحي لابيطا الجديدة
اختناق حركة السير على مستوى شارع مدغرة والشوارع والأزقة المحيطة بالسوق البلدي. 
واجهة حي لابيطا الجديدة المطلة على السوق وخصوصا سوق بيع التمور (كوجهة سياحية يحل بها الزوار من مختلف مناطق العالم لشراء التمور والمنتوجات المحلية) تسيء للسياحة حيث الأتربة والأحجار والروائح الكريهة لقنوات الواد الحار ومطرحا لأزبال مخلفات السوق ومحلات بيع الدواجن ... مما يعطي صورة سيئة للغاية عن المدينة وطريقة استقبالها لزوارها
....",negative,negative,0.95
حماية الممتلكات العامة والخاصة ومراقبة المناطق المكتظة,neutral,neutral,0.85
اطلاع المجتمع السلاوي على تداولات مكتب المجلس الجماعي أثناء التحضير لجدول اعمال الدورات وفتح المجال للمواطنين لاقتراح نقط لمناقشتها خلال أشغال إعداد جدول اعمال الدورة,neutral,positive,0.75
ضعف التواصل حول الخدمات و مصالح الجماعة,negative,negative,0.85
مشكل الطرق وتأهيل البنية التحتية بالمدينة ومشاكل ربط أحياء المدينة,neutral,negative,0.85
"تعطيل القوانين المنظمة للحق في الحصول على المعلومة. ( الفصل 27 من الدستور و القانون 31.13)
- تعقيد المساطر الإدارية ( التعمير مثلا).
- المماطلة في تسليم الوثائق الإدارية .
- قلة ملاعب القرب و منح مهمة تسييرها على أساس الإنتماء و الولاء السياسي .
- غياب تام لقنوات تصريف مياه الأمطار بمعظم الشوارع رغم إعادة تهيئتها.
- هشاشة وضعية المياومين و سوء معاملتهم.
- تجهيز الأحياء بناء على الولاء الإنتخابي.
- استخلاص رسوم على توقف العربات بالشارع العام.
- استغلال الملك العمومي بشكل عشوائي.
- الوضعية المزرية للسوق الأسبوعي و المجزرة.
- احتكار جميع الخدمات الإدارية من طرف رئيس المجلس و عدم منح التفويض للأعضاء.
- المزاجية و الزبونية في تفعيل اختصاصات الشرطة الإدارية.
- الافراط في استغلال سيارات الجماعة.
- إقصاء بعض مكونات المجتمع المدني و نهج سياسة الآذان الصماء اتجاه مقترحاتها.
- رداءة أشغال التجهيز ( مثلا: اختناق قنوات تصريف مياه الأمطار، تحول قنوات تصريف المياه العادمة إلى حفر و مطبات ، كثرة الحفر و المطبات بأغلبية الشوارع).",negative,negative,0.95
تأهيل أزقة شوارع عين العاطي 1 فلا يعقل أن تكون الأزقة فيها الحصى والتراب هذا من جهة من جهة أخرى مشكل الإنارة المصابيح المعتمدة ضوؤها خافت في حين هناك مصابيح ليد استهلاكها للطاقة أقل بكثير واضاءتها جيدة.,neutral,negative,0.75
"- ضعف التغطية بالولوجيات الخاصة بالأشخاص في وضعية إعاقة
- عدم احترام ضوابط البناء العامة و تصاميم التهيئة والتجزئات العقارية و المجموعات السكنية لمقتضيات القانون رقم 03-10 المتعلق بالولوجيات",negative,negative,0.85
- ارتفاع فاتورة الطاقة,negative,negative,0.85
- غياب مشاريع لتثمين النفايات,negative,negative,0.85
غياب رموز ومجسمات بالساحات والمحاور الطرقية تجسد هوية المدينة,negative,negative,0.7
"* العمل على خلق مناصب الشغل للشباب 
* * قلة إلى انعدام فضاءات الترفيه بالمنطقة.",negative,negative,0.7
غياب مهرجانات سنوية ثقافية,negative,negative,0.75
نقص في العمل الثقافي بالمدينة,negative,negative,0.75
نقص كبير في البنيات التحتية للمدينة..,negative,negative,0.85
نقص في الفضاءات والمرافق الترفيهية,negative,negative,0.85
"قلة المهرجانات 
قلة دور الشباب
ضعف في الانارة",negative,negative,0.9
غياب الاسواق التضامنية ونقص في اسواق القرب,negative,negative,0.85
"1_ نضوب الفرق الفنية الشعبية 
2_ اتساع رقعة المتقاعدين في كل المجالات 
3 _ تنامي انتشار المخدرات في صفوف الشباب وخاصة التلاميذ في المؤسسات التعليمية 
4_ انحصار فئة من المثقفين في أنشطة ثقافية قليلة وفي أماكن متفرقة .",neutral,negative,0.85
قيلة المهرجانات,neutral,negative,0.7
غياب مرافق رياضية بالمدينة ملعب واحد قاعة مغطاة واحدة ،هذه المرافق لا تعد تستطع الاستجابة لجميع الساكنة والفرق والأندية التي تتزايد بشكل كبير مع اتساع المدينة وتزايد ساكنتها,negative,negative,0.85
غياب حي حرفي,negative,neutral,0.7
- اشكالية احتلال الملك العمومي,negative,negative,0.7
- مشاكل السير والجولان والتشوير,neutral,negative,0.85
خلق منطقة للانشطة الاقتصادية والحرفية,positive,positive,0.8
يجب أن تنتمي الإشكالية لموضوع الدراسة بشكل كبير,neutral,neutral,0.8
"ازدحام في حركة السير.
الإنارة",negative,neutral,0.8
"قلة المتاحف
قيلة المهرجانات 
قيلة ايام الثقافة
عدم معارض للمنتجات",negative,negative,0.9
"تعاني ساكنة جل الأحياء و التجزيئات السكنية بجماعة الرشيدية مشاكل عدة تسببها الورشات و المحلات الحرفية ( ورشات لإصلاح السيارات و الشاحنات و الدراجات النارية ، ورشات النجارة و الحدادة ، ورشات لإصلاح هياكل السيارات وصباغتها)، المتناثرة داخل الأحياء السكنية وذالك ب:
 تلويث الهواء بأدخنة محركات الشاحنات و السيارات و الدراجات النارية؛
 الزيوت العدمة للمحركات المسكوبة على قارعة الطرقات؛
 صباغة هياكل السيارات التي تستعمل بواسطة رشاش مضغوط و الذي يتسبب في اختناق و ضيق التنفس للساكنة كبار وصغار على حد سواء ؛
 المتلاشيات التي يقذف بها بالشوارع و الساحات العمومية؛
 التلوث الصوتي من ضوضاء و ضجيج يتسبب بها و رشات الحدادة و النجارة ليلا ونهار؛
 الروائح الكريهة المنبعثة من المحلات و الورشات الحرفية؛
 تفقد الشوارع و الأحياء و المدينة بصفة عامة رونقها و جماليتها و هدوئها؛
ولهذه المشاكل إنعكاسات سلبية على المستوى الصحي للساكنة بحيث تتسبب في أمراض مزمنة عدة كضيق التنفس و الربو وأمراض نفسية عديدة بالخصوص عند الأطفال وكبار السن. و تسببت كذلك باحتقان اجتماعي تتمثل في نزاعات بين الساكنة و أرباب هذه الورشات الحرفية قد تصل في بعض الأحيان إلى منازعات قضائية تتطلب عدة سنوات للبث فيها.",negative,negative,0.9
- غياب النقل العمومي / الحضري,negative,negative,0.85
تفعيل أدوار الهيئات الاستشارية,neutral,positive,0.7
"غياب بوابة الكترونية خاصة بالجهة 
محدودية تقاسم حصيلة منجزات الجهة 
ابتكار اليات جديدة للحوار و التشاور",neutral,negative,0.7
"ضعف تنميط بروتوكولات التواصل التي يجب أن تحكم العلاقة بين مكونات مجالس الجهات: المجلس، اللجان، الهيآت الاستشارية، الإدارة الخ؛
 - غياب استراتيجية أو خطة للتواصل الخارجي، لربط الجهة بمحيطها المؤسساتي وبالمواطن أساسا، حتى تندرج الجهة ضمن التمثل المجتمعي لمؤسسات الدولة؛
 - استغلال ضعيف للوسائط الاجتماعية من طرف الجهات، رغم أن هذه الأخيرة هي التي أصبحت مؤثرة في الرأي
العام؛",negative,negative,0.85
"- إهمال كبير للمحطة الطرقية 
- ضعف الخدمات بكورنيش أم العشار",negative,negative,0.85
"ضعف التواصل مع فعاليات المجتمع المدني 
قلة الموارد البشرية المكلفة بالتواصل مع المواطنين و المجتمع المدني
عدم تفعيل صندوق الشكايات",negative,negative,0.85
ضعف الشبكات في الجماعات الترابية وخاصة العالم القروي,negative,negative,0.85
"- غياب مصلحة للتواصل 
- عدم التوفر على استرتيجية للتواصل
- الجماعة ليس لديها مسؤول عن الارشيف",negative,negative,0.85
"- عدم التوفر على المعلومات المنظمة 
- صعوبة الولوج للوثائق انطلاقا من الموقع الكتروني 
- ضعف التنسيق الداخلي بين مصالح الجماعة",negative,negative,0.85
"- غياب مصلحة معالجة الانظمة المعلوماتية 
- غياب رقمنة الارشيف والخدمات الجماعية الاخرى 
- ضعف التجهيزات المعلوماتية ( الجماعة تعرضت مسبقا للقرصنة)",negative,negative,0.85
"- غياب التواصل بين الادارة والمواطنين
- ضعف الوعي بالميزانية الجماعية 
- غياب احصاء ضريبي 
- ضعف التنسيق مع الادارات الخرى المعنية بالضريبة",negative,negative,0.9
عدم معرفة المنصات الجاهزة للاستعمال,negative,negative,0.85
هل جماعة ابن جرير تتفاعل جديا مع طلبات الحصول على المعلومة,neutral,neutral,0.7
صعوبة اخد مواعيد من المستشفى الاقليمي للرحامنة,negative,negative,0.85
قلة التواصل بين الجماعة و المواطنين,negative,negative,0.8
عدم اشراك المجتمع المدني في تشخيص برنامج عمل الجماعة,neutral,negative,0.75
absence de contact entre le citoyen et la commune,neutral,negative,0.8
لا نستطيع الاتصال بالجماعة او المسؤولين,negative,negative,0.75
عدم توفر الجماعة على ارشيف لا استطيع الحصول على نسخة من رخصة بناء سلمت سنة 2010,negative,negative,0.85
"الإشكالية المطروحة هي عدد حاويات الازبال poubelles المخصصة لإقامة مسك الليل و بعد هذه حاويات الازبال poubelles عن الإقامة.
حسب علمي فإن حاويات الازبال poubelles المخصصة لإقامة مسك الليل هي اثنين و توجد بتحزئة السلام البعيدة عن الإقامة، و هتان الحاويات تمتلئتان و تسبيبان كثير من الرائح و تناثر الازبال على جنبات الطريق المؤدية الى حي الشعيبات و هناك اشخاص يقومون بفتح الحاويات و خراج ما بها من ازبال لان هذه المنطقة من تجزئة السلام شبه فارغة من السكان.",neutral,negative,0.85
"ضعف في مجال الرقمنة 
ضعف تسيير موقع الرسمي للجماعة
ضعف في توثيق انشطة الجماعة
عدم مواكبة الموقع الرسمي للجماعة لمشاريع الجماعة و انشطة المجتمع المدني",negative,negative,0.9
السقي غير المنتظم للمساحات الخضراء مما يفقد جماليتها,negative,negative,0.85
عدم الاهتمام بالتشجير,neutral,negative,0.85
صعوبة الحوار مع الموظف وتقبله بحق المواطن بالحصول على المعلومة.,negative,negative,0.85
مطالبة مرتفقي الجماعة بمجموعة من الوثائق الورقية، ملفات تتكون من عدد مبالغ فيه من النسخ، صعوبة تتبع مال الملفات من طرف الموظف أو المرتفق، بطء معالجة الملفات ، إمكانية إتلاف الملفات أو بعض محتوياتها...,negative,negative,0.85
صعوبة الولوج إلى المعلومة من طرف المواطنين و المجتمع المدني. عزوف المواطنين عن تتبع مستجدات الجماعة. تناسل الإشاعات في غياب المعلومة الصحيحة من المصدر,negative,negative,0.85
"عدم صلاحية الولوجيات الخاصة بالاشخاص ذوي الاحتياجات الخاصة بمقر الجماعة
قلة الموارد البشرية الخاصة الخدمات الادارية خصوص مصلحة تصحيح الامضاءات في الدخول المدرسي",negative,negative,0.85
عدم إطلاع ومواكبة المواطنين و فعاليات المجتمع المدني على ميزانية الجماعة و المشاريع المبرمجة واالمنجزة من طرف الجماعة.,negative,negative,0.85
"الرقمنة وتعطل دورها في استثمار فرص التعاون اللامركزي والدولي للإقليم
• الرقمنة وبطء تطوير العمل والتواصل بين مجموعات الجماعات الترابية بالإقليم
• عدم تيسير الولوجية والتحسيس بالخطة الرقمية لإعمال الحق في الحصول على المعلومة وتنفيذ البرنامج المنفتح للمجلس 
• عدم الوعي بأهمية الموقع الالكتروني للإقليم وربط خدماته بكل المنظومات معلوماتية والرقمية ( نظام معلوماتي داخلي لتتبع الاتفاقيات المصادق عليها من طرف المجلس - خلق منصة رقمية لتسويق الإنسان والمجال - الاستخدام للتقنيات الرقمية من طرف المواطنين المجتمع المدني للوصول الى الخدمات والمعلومات.)
• تتبع وتحيين الملتمس المرفوع إلى وزارة الانتقال الرقمي لتوسيع الولوجية والشمولية.
ضعف التكوين والتدرب على مهارات التقنيات الرقمية
تعثر وبطء العمل لتنفيذ محتويات البرامج الالتقائية وعدم استعمال الآليات الرقمية لأجراة مضامين محتويات برنامج التنمية.
غياب التناسق والإندماج والإلتقائية مع البرامج والمخططات الترابية تحقيقا للتنمية الترابية المندمجة محليا اقليميا جهويا ووطنيا.",negative,negative,0.85
تثمين المنتوج المحلي الساحلي من فواكه البحر والأسماك والاعشاب البحرية،السياحة الساحلية،,neutral,positive,0.85
"الرقمنة وبطء تطوير العمل والتواصل بين مجموعات الجماعات الترابية بالإقليم.
• عدم تيسير الولوجية والتحسيس بالخطة الرقمية لإعمال الحق في الحصول على المعلومة وتنفيذ البرنامج المنفتح للمجلس 
• عدم الوعي بأهمية الموقع الالكتروني للإقليم وربط خدماته بكل المنظومات معلوماتية والرقمية ( نظام معلوماتي داخلي لتتبع الاتفاقيات المصادق عليها من طرف المجلس - خلق منصة رقمية لتسويق الإنسان والمجال - الاستخدام للتقنيات الرقمية من طرف المواطنين المجتمع المدني للوصول الى الخدمات والمعلومات.)
• تتبع وتحيين الملتمس المرفوع إلى وزارة الانتقال الرقمي لتوسيع الولوجية والشمولية.",negative,negative,0.85
نقص عدد الموظفين بمصلحة الرقمنة,negative,negative,0.85
ضعف صبيب الانترتيت بالجماعة,negative,negative,0.85
عدم التوازن بين ملحقتي الجماعة في الخدمات,negative,negative,0.85
اشكاليات الوعاء العقاري,neutral,neutral,0.8
نقص في التسويق الترابي للجماعة,negative,negative,0.75
سوء تدبير الوعاء العقاري والتجزئات السكنية,negative,negative,0.85
ضعف اشتغال الهيئة بعدم تنظيم لقاءات واجتماعات دورية وبصفة منتظمة,negative,negative,0.85
ضعف مساهمة المراة في الاقتصاد التضامني الاجتماعي بجماعة عين الشقف,neutral,negative,0.8
عدم تواصل الهيئة مع مختلف الهيائات المحدثة لدى جماعات ترابية اخرى قصد الاستفادة من تجاربهم,negative,negative,0.85
انعدام تواجد هيئة خاصة بالنساء مائة بالمائة,negative,negative,0.85
نقص في الموارد البشرية المتخصصة,negative,negative,0.85
غياب المقاربة التشاركية في تنزيل وتتبع وتقييم المشاريع,negative,negative,0.85
نقص الامكانيات التقنية وآليات التتبع,negative,negative,0.85
"الاقتصار على نشر المعلومات المتعلقة بأنشطة المجلس فقط على الموقع الالكتروني للجماعة
عدم تحيين المعلومات بشكل متزامن مع المستجدات
عدم نشر المعلومات التالية:
الميزانية ، برنامج العمل : محاضر الدورات دفاتر تحملات المشاريع",neutral,negative,0.85
"ضعف التكوين لدى الفاعل المدني والمؤسساتي في مجال المشاركة المواطنة
غياب التواصل
انعدام الثقة
ضعف الاجرأة
غياب التكوين
ضعف الموارد المالية واللوجيستيكية والبشرية",negative,negative,0.95
"ضعف اهتمام المواطن بالشان المحلي
ضعف التواصل حول برنامج عمل الجماعة ومراحل تنفيذه
غياب اليات مشتركة لتتبع تنفيذ برنامج عمل الدماعة",neutral,negative,0.85
الاشكاليات المطروحة هي اننا قمنا بعدة مسيرات احتجاجية من اجل اصلاح هده المسافة القصيرة من الطريق الغير معبدة من اجل تسهيل مرور النقل المدرسي بقصر إمزداغ وفي كل مرة نتلقى وعود كادبة من مسؤ ولي عمالة ميدلت ولا شئ تغير الا ان الطريق لا تصلح الا لمرور الدواب,negative,negative,0.9
بعض سكان الدواوير يعيشون في عزلة خاصة في فصل الشتاء ( تگرسيفت الغربية و أيت لعباس....),negative,negative,0.75
يعاني دوار أيت إلوسان الذي أنتمي إليه من مشكل المسلك الطرقي الذي يربطه بمركز زايدة و بالطريق الوطنية 13 .فهو غير معبد ويعيق تنمية المنطقة.,negative,negative,0.85
"- المقطع الطرقي بين توفيت وايت أمغار عبر سد تمالوت في حالة كارثية.
-تعاني الساكنة ومعها زوار سد تمالوت من تبعات هذا المقطع الطرقي.",negative,negative,0.85
"قصر توغاش الشرقية. 
الساكنة تعاني في البحث عن الماء الشروب ، التنقل على الدواب يوميا لجلب هذه المادة الضرورية وبمساعدة أطفالهم.",neutral,negative,0.85
صعوبة ولوج الاطفال للمدرسة .وخاصة في فصل الشتاء و صعوبة وصول الأساتذة للمدرسة,negative,negative,0.85
"بسم الله الرحمن الرحيم والصلاة والسلام علي سيدنا محمد (ص) اما بعد .
كما تعلمون جمعا يعرف المغرب في هذه السنوات الاخيرة شح المياه بسبب الجفاف . لهذا اخبركم ان جماعة زايدة تعاني من نقص في الماء الصالح للشرب وخصوصا في دوار ايت حمو ويوسف وباقي الدواوير ؛ لقد تم تزويد جميع الدواوير بالماء الصالح للشرب ما عدا دوار ايت حمو ويوسف وطرحنا هذا السؤال على المسوولين ولم نتوصل إلى أي جواب مقنع رغم المنازل المتبقية الغير المزودة بالماء الصالح للشرب لم تتعدى 8 منازل تقريبا . نريد حلا لهذا المشكل في أقرب الاجل وشكرا .",negative,negative,0.85
غياب التواصل وشح المعلومة,negative,negative,0.85
"عدم تفعيل الموقع الرسمي للجماعة 
رقمنة الميزانية: عدم نشر الميزانية - صعوبة فهم الميزانية
صعوبة التواصل مع مصلحة الانارة",negative,negative,0.85
ضعف الجاذبية الإقتصادية,negative,negative,0.85
