text,ground_truth,claude-3-sonnet_prediction,claude-3-sonnet_confidence
)٤( مــن فـ فــ فــ ف ف ف ف ف ف ف ف ف قوة ج ج ج للج زائد زائد زائد زائد زائد زائد زائد زائد زائد و ج و م ج و و م ج و و بالإضافة م ج و و بالإضافة م ج و و بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة كذلك، عظيم هذا القرار، وما بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة,neutral,neutral,0.5
ضرورة التزام ‏الشفافية في توزيع الماء الصالح للشرب والكهرباء و وتدبير الصرف الصحي والنفايات,neutral,neutral,0.5
كيفيات الثقة بين المواطن والهيئة المنتخبة,neutral,neutral,0.5
- ارتفاع فاتورة الطاقة,negative,neutral,0.5
عدم ملائمة الكثير من البرمجيات الالكترونية مع الاجراءات الادارية اليومية,negative,neutral,0.5
خلط وعدم فهم ادوار الهيئات الاستشارية,negative,neutral,0.5
موسمية عمل الهيئات الاستشارية؛,neutral,neutral,0.5
نقص الامكانيات وآليات التتبع,negative,neutral,0.5
كيفيات تعزيز الثقة بين المواطن والإدارة والهيئة المنتخبة,neutral,neutral,0.5
مشكل رقمنة أحياء وازقة مدينة القليعة وتنظيما عبر تفعيل رقمنة وتسجيل الاصلية ورقمنة المنازل بأرقام يمكن تسهيل للمواطنين الأساسية.,neutral,neutral,0.5
"تعطيل القوانين المنظمة للحق في الحصول على المعلومة. ( الفصل 27 من الدستور و القانون 31.13)
- تعقيد المساطر الإدارية ( التعمير مثلا).
- المماطلة في تسليم الوثائق الإدارية .
- قلة ملاعب القرب و منح مهمة تسييرها على أساس الإنتماء و الولاء السياسي .
- غياب تام لقنوات تصريف مياه الأمطار بمعظم الشوارع رغم إعادة تهيئتها.
- هشاشة وضعية المياومين و سوء معاملتهم.
- تجهيز الأحياء بناء على الولاء الإنتخابي.
- استخلاص رسوم على توقف العربات بالشارع العام.
- استغلال الملك العمومي بشكل عشوائي.
- الوضعية المزرية للسوق الأسبوعي و المجزرة.
- احتكار جميع الخدمات الإدارية من طرف رئيس المجلس و عدم منح التفويض للأعضاء.
- المزاجية و الزبونية في تفعيل اختصاصات الشرطة الإدارية.
- الافراط في استغلال سيارات الجماعة.
- إقصاء بعض مكونات المجتمع المدني و نهج سياسة الآذان الصماء اتجاه مقترحاتها.
- رداءة أشغال التجهيز ( مثلا: اختناق قنوات تصريف مياه الأمطار، تحول قنوات تصريف المياه العادمة إلى حفر و مطبات ، كثرة الحفر و المطبات بأغلبية الشوارع).",negative,neutral,0.5
عدم تواجد مكتب تواصل بجماعة عين حرودة.,negative,neutral,0.5
