titles,CT,Collectivité territorial,المواضيع
تسويق وتثمين الخدمات المقدمة من طرف الجماعة,جماعة سيدي افني,Commune Sidi Ifni,
اعتماد مقاربة تشاركية أثناء إعداد قرارات الرئيس، المتعلقة بتنظيم السير و الجولان والوقوف بالطرق العمومية و المحافظة على سلامة المرور بها,جماعة سيدي افني,Commune Sidi Ifni,
تغيير ثقافة وسلوك المواطن مع تدبير النفايات، من خلال تكثيف الحملات التحسيسية والتوعوية,جماعة سيدي افني,Commune Sidi Ifni,
إحداث حي حرفي,جماعة سيدي افني,Commune Sidi Ifni,
إحداث فضاءات جمعوية,جماعة سيدي افني,Commune Sidi Ifni,
بناء مجسمات فنية ترسخ لهوية المدينة,جماعة سيدي افني,Commune Sidi Ifni,
التعريف بمجالات تدخل الجماعة وخدماتها عبر أنشطة تواصلية.,جماعة سيدي افني,Commune Sidi Ifni,
إصدار ونشر مجلة رقمية وورقية تبرز حصيلة أنشطة المجلس الجماعي.,جماعة سيدي افني,Commune Sidi Ifni,
تنمية الوعاء العقاري,جماعة سيدي افني,Commune Sidi Ifni,
تعزيز قيم المواطنة والسلوك المدني,جماعة سيدي افني,Commune Sidi Ifni,
احداث مكتب استقبال وتوجيه المواطنين/ات,جماعة الداخلة,Commune Dakhla,
تفعيل مكتب ضبط رقمي,جماعة الداخلة,Commune Dakhla,
مخطط التكوين لفائدة الشباب و الجمعيات في مجال المشاركة المواطنة,جماعة الداخلة,Commune Dakhla,
انجاز تكوينات في مجال التحول الرقمي لفائدة أطر ومنتخبي الجماعة وهيئة المساواة وتكافؤ الفرص ومقاربة النوع,جماعة بوجدور,Commune Boujdour,
خلق فضاء تفاعلي داخل الموقع الإلكتروني للجماعة وغنجاز تكوينات في مجال الحق في الحصول على المعلومة وتدبير العرائض لفائدة الجمعيات والمواطنين.,جماعة بوجدور,Commune Boujdour,
نشر برامج ومشاريع الجماعة وتبسيط الولوج إليها.,جماعة بوجدور,Commune Boujdour,
احداث فضاء للاستقبال والتوجيه والتواصل مع المواطنين بمقر الجماعة,جماعة كلميم,Commune Guelmim,
تعزيز وتطوير التشوير بالإدارة والمرافق الجماعية,جماعة كلميم,Commune Guelmim,
إحداث كبسولات اعلامية واخبارية وتوعوية حول الخدمات التي تقدمها الجماعة,جماعة كلميم,Commune Guelmim,
وضع لوحات الكترونية اشهارية بالساحات العمومية وفي فضاء الجماعة للإخبار والاعلام والتواصل مع المواطنين,جماعة كلميم,Commune Guelmim,
اقتناء وتطوير منصات رقمية لتدبير الإدارة الجماعية : 1- تطوير الموقع الالكتروني للجماعة 2- تدبير الموارد البشرية 3- تدبير المخزن 4- تدبير الأرشيف 5- منظومة رقمية جغرافية SIG,جماعة كلميم,Commune Guelmim,
برنامج تقوية قدرات المنتخبين والموارد البشرية للجماعة,جماعة كلميم,Commune Guelmim,
تنظيم لقاء يؤطره خبراء في مجال المدن الذكية,جماعة كلميم,Commune Guelmim,
إحداث خلية للتواصل الداخلي والخارجي,جماعة كلميم,Commune Guelmim,
تعميم نقط فرز النفايات,جماعة كلميم,Commune Guelmim,
خلق وحدات لتثمين وتدوير النفايات,جماعة كلميم,Commune Guelmim,
تعزيز التشوير الأفقي والعمودي,جماعة كلميم,Commune Guelmim,
إحداث حلبة متخصصة لتعليم السياقة,جماعة كلميم,Commune Guelmim,
إحداث مواقف السيارات,جماعة كلميم,Commune Guelmim,
إحداث سوق نموذجي للباعة المتجولين,جماعة كلميم,Commune Guelmim,
تنظيم حملات توعوية وتحسيسية,جماعة كلميم,Commune Guelmim,
برنامج تقوية قدرات المجتمع المدني,جماعة كلميم,Commune Guelmim,
إحداث منصة رقمية لتدبير طلبات استغلال بعض المرافق الجماعية ( الفضاء الجمعوي - الخزانة الوسائطية - ملاعب القرب ...),جماعة كلميم,Commune Guelmim,
الرقمنة,إقليم تزنيت,Province Tiznit,
مغاربة العالم,إقليم تزنيت,Province Tiznit,
رقمنة خدمات جماعة سعادة: من أجل مرفق عمومي ناجع و فعال.,جماعة سعادة,Commune saada,
تسويق الخدمات الرقمية المقدمة من طرف الجماعة للمرتفقين.,جماعة سعادة,Commune saada,
تعزيز المشاركة المواطنة و جعل المواطن فاعلا ترابيا شريكا للجماعة.,جماعة سعادة,Commune saada,
انفتاح الجماعة على محيطها الخارجي من أجل تنزيل برنامج عمل شامل ومتكامل.,جماعة سعادة,Commune saada,
تجويد حق الحصول على المعلومات,جماعة بن جرير,Commune Ben Guerir,الولوج إلى المعلومة
تعبئة المجتمع المدني ودعم قدراته من اجل تحسين مشاركته عن طريق تقديم العرائض,جماعة بن جرير,Commune Ben Guerir,العرائض
تفعيل وتجويد الرقمنة داخل الادارة,جماعة بن جرير,Commune Ben Guerir,الرقمنة
تشجيع الولوج الى المنصات الرقمية بالجماعة,جماعة بن جرير,Commune Ben Guerir,"التواصل 
الرقمنة"
برنامج عمل جماعة منفتح,جماعة بن جرير,Commune Ben Guerir,تتبع وتقييم برامج التنمية
تعزيز المشاركة المواطنة عبر تقوية قدرات هيئة المساواة وتكافؤالفرص ومقاربة النوع بجماعة ابن جرير,جماعة بن جرير,Commune Ben Guerir,
تشجيع الديمقراطية التشاركية,جماعة بن جرير,Commune Ben Guerir,
الديمقراطية التشاركية - مشروع مقترح من خلال اللقاء عنوانه : الانفتاح على المؤسسات التعليمية *,جماعة بن جرير,Commune Ben Guerir,
تعزيز المشاركة المواطنة عبر تقوية قدرات هيئة المساواة وتكافؤالفرص ومقاربة النوع بجماعة ابن جرير * مشروع مقترح من اللقاء : تعزيز المشاركة المواطنة لذوي الهمم,جماعة بن جرير,Commune Ben Guerir,
الشفافية والمساءلة الولوج الى المعلومة- المشاركة المواطنة - الرقمنة,جماعة ازيلال,Commune Azilal,"الولوج إلى المعلومة 
المشاركة المواطنة"
مناصات ومواقع على الويب,جماعة ازيلال,Commune Azilal,الرقمنة
‏التحسيس والتوعية وتكوينات للجمعيات حول آليات العرائض,جماعة ازيلال,Commune Azilal,العرائض
المدينة الخضراء,جماعة بني ملال,Commune Bni Mellal,
تنزيل آلية تقديم العرائض,جماعة بني ملال,Commune Bni Mellal,
تشجيع / مع / المنتوج المحلي - منتوجات دارنا-,جماعة بني ملال,Commune Bni Mellal,
الميزانية التشاركية,جماعة بني ملال,Commune Bni Mellal,
ميزانية المواطن,جماعة بني ملال,Commune Bni Mellal,
تغيير ثقافة و سلوك المواطن مع تدبير النفايات ، من خلال تكثيف الحملات التحسيسية و التوعوية,جماعة بني ملال,Commune Bni Mellal,
تنظيم مسابقة أنظف حي,جماعة بني ملال,Commune Bni Mellal,
تنظيم مسابقة أجمل و أنظف محيط مدرسة,جماعة بني ملال,Commune Bni Mellal,
اعتماد مقاربة تشاركية أثناء إعداد قرارات الرئيس، المتعلقة بتنظيم السير و الجولان و الوقوف بالطرق العمومية و المحافظة على سلامة المرور بها,جماعة بني ملال,Commune Bni Mellal,
تسويق و تثمين الخدمات المقدمة من طرف الجماعة,جماعة بني ملال,Commune Bni Mellal,
جاذبية مدينة خريبكة: مسابقة فنية انفوغرافية,جماعة خريبكة,Commune Khouribga,
إحداث ودعم منتدى الأحياء,جماعة خريبكة,Commune Khouribga,
الجاذبية الترابية: تنظيم معرض محلي للمنتوجات المجالية,جماعة خريبكة,Commune Khouribga,
الجاذبية الترابية: إحداث بوابة رقمية خريبكة المنفتحة,جماعة خريبكة,Commune Khouribga,
الجاذبية الترابية: تقوية وعصرنة بوابة الجماعة,جماعة خريبكة,Commune Khouribga,
الجاذبية الترابية: تنظيم مسابقة في الهندسة المعمارية:مدار الساعة,جماعة خريبكة,Commune Khouribga,
الجاذبية الترابية :إحداث فضاء للتسويق الرقمي الترابي,جماعة خريبكة,Commune Khouribga,
الجاذبية الترابية: احداث مجالات للتسويق للملتقيات الوطنية والدولية المنظمة بالمدينة مهرجان السينما الافريقية نموذجا,جماعة خريبكة,Commune Khouribga,
المشاركة المواطنة :دعم الجمعيات المهتمة ‏بملصقات التوعية,جماعة خريبكة,Commune Khouribga,
اﻟﺜﻘﺎﻓﺔ: دعم الثقافة و الجمعيات المتخصصة في المجال,جماعة خريبكة,Commune Khouribga,
دعم الثقافة المرئية,جماعة خريبكة,Commune Khouribga,
الفضاء الأخضر:دعم الجمعيات المهتمة بالبيئة,جماعة خريبكة,Commune Khouribga,
الانفتاح على المواطن : دعم وتقوية قدرات الجمعيات المهتمة بآليات العرائض,جماعة خريبكة,Commune Khouribga,
تعبيد الطرق العامة,جماعة آزرو,Commune Azrou,"الطرق 
التنقلات الحضرية"
إحداث وصيانة حدائق عمومية بالمدينة,جماعة آزرو,Commune Azrou,البيئة
تهيئة الهياكل الداعمة لقطاع الصحة,جماعة آزرو,Commune Azrou,الصحة
تثمين و تأهيل التراث الأمازيغي,جماعة آزرو,Commune Azrou,الثقافة
مخطط مديري للتحول الرقمي مكن من توفير العديد من الحلول الرقمية لصالح المقاطعات و المواطنين,جماعة الدار البيضاء,Commune Casablanca,
تأهيل المنتزهات التاريخية القديمة بالمدينة وإحداث فضاءات خضراء جديدة,جماعة الدار البيضاء,Commune Casablanca,
قياس مؤشر جودة الهواء في الدار البيضاء,جماعة الدار البيضاء,Commune Casablanca,
دمج مقاربة النوع بشكل منهجي في عمل الجماعة,جماعة الدار البيضاء,Commune Casablanca,
تأهيل التجهيزات الثقافية والرياضية والاجتماعية القائمة وإنشاء أخرى جديدة إعمالا لمبدأ العدالة المجالية,جماعة الدار البيضاء,Commune Casablanca,
إنشاء مركز معالجة وتثمين وطمر النفايات المنزلية (CTVE),جماعة الدار البيضاء,Commune Casablanca,
تأهيل البنية التحتية الطرقية,جماعة مولاي عبد الله,Commune Moulay Abdellah,
تجويد خدمات الموقع الالكتروني للجماعة,جماعة مولاي عبد الله,Commune Moulay Abdellah,
إشراك المجتمع المدني في تنظيم موسم مولاي عبد الله والاستفادة من الأنشطة المدرة للدخل بالموسم,جماعة مولاي عبد الله,Commune Moulay Abdellah,
إشراك المجتمع المدني في النهوض بفن التبوريدة,جماعة مولاي عبد الله,Commune Moulay Abdellah,
إنشاء دار الجمعيات,جماعة الجديدة,Commune El Jadida,
اشراك الهيأة الاستشارية في تنزيل مشاريع التنمية الجماعية,جماعة الجديدة,Commune El Jadida,
عقد شراكة مع المجتمع المدني لصيانة مقابر المدينة,جماعة الجديدة,Commune El Jadida,
إعداد ميثاق يهم الجانب البيئي و إشراك الهيأة في إعداد كناش التحملات الخاص بتدبير قطاع النظافة,جماعة الجديدة,Commune El Jadida,
إحدات تطبيق خاص على مستوى الهواتف الذكية,جماعة الجديدة,Commune El Jadida,
وضع شاشات تفاعلية بمقر الجماعة و الملحقات الادارية,جماعة الجديدة,Commune El Jadida,
اشراك الهيئة الاستشارية في تنزيل و تقييم برنامج عمل الجماعة,جماعة الجديدة,Commune El Jadida,
اعداد تصميم للتنقل الحضري,جماعة برشيد,Commune Berrechid,
تنظيم انشطة تحسيسية وتوعوية من اجل المساهمة في تغيير سلوك المواطن اتجاه تدبير جمع النفايات والتعامل الجيد مع المجال الاخضر,جماعة برشيد,Commune Berrechid,
بناء وتجهيز مركب ثقافي,جماعة برشيد,Commune Berrechid,
تعزيز الآليات التشاركية للحوار والتشاور: مجلس المرأة,جماعة سلا,Commune Sale,
تعزيز الآليات التشاركية للحوار والتشاور: مجلس ذوي الاحتياجات الخاصة,جماعة سلا,Commune Sale,
تعزيز الآليات التشاركية للحوار والتشاور: مجلس الطفل,جماعة سلا,Commune Sale,
تعزيز الآليات التشاركية للحوار والتشاور: مجلس الشباب,جماعة سلا,Commune Sale,
تعزيز الآليات التشاركية للحوار والتشاور: المجلس الاقتصادي,جماعة سلا,Commune Sale,
تعزيز الآليات التشاركية للحوار والتشاور: مجلس المهاجرين,جماعة سلا,Commune Sale,
تعزيز الآليات التشاركية للحوار والتشاور: الرياضة,جماعة سلا,Commune Sale,
تعزيز الآليات التشاركية للحوار والتشاور: مجالس الأحياء,جماعة سلا,Commune Sale,
تثمين الآليات التشاركية للحوار والتشاور: الخميس التشاوري,جماعة سلا,Commune Sale,
إحداث 4 دور للتشاور,جماعة سلا,Commune Sale,
التكوين في مجال تفهم الإعاقة,جماعة سلا,Commune Sale,
جائزة التنمية الدامجة,جماعة سلا,Commune Sale,
إعداد ميثاق المدرسة المنفتحة,جماعة سلا,Commune Sale,
إحداث آلية لوضع الميزانية التشاركية,جماعة سلا,Commune Sale,
إعداد وتنفيذ خطة الجماعة المنفتحة,جماعة سلا,Commune Sale,
إحداث مركز الاستماع والإرشاد والشكايات,جماعة سلا,Commune Sale,
تحديث الموقع الإلكتروني بإنشاء بوابة كبرى للجماعة,جماعة سلا,Commune Sale,
تحيين وتثمين العمل التواصلي للجماعة,جماعة سلا,Commune Sale,
اعتماد آليات وأدوات لقياس رضى المواطن,جماعة سلا,Commune Sale,
تطوير آليات التواصل مع الأشخاص في وضعية إعاقة,جماعة سلا,Commune Sale,
تعزيز التواصل عبر شبكات التواصل الاجتماعي,جماعة سلا,Commune Sale,
إعداد خطة عمل للتواصل في حالة الأزمات,جماعة سلا,Commune Sale,
إحداث أكشاك لتواصل القرب,جماعة سلا,Commune Sale,
إعداد ونشر مجلة الجماعة,جماعة سلا,Commune Sale,
إعادة هيكلة المرصد الحضري لسلا,جماعة سلا,Commune Sale,
التقرير السنوي لسلا,جماعة سلا,Commune Sale,
تعزيز استعمال اللغة الأمازيغية,جماعة سلا,Commune Sale,
رقمنة خدمة المصادقة على صحة الإمضاء والإشهاد على مطابقة النسخ,جماعة سلا,Commune Sale,
توفير خدمة الانترنيت في الفضاءات العامة,جماعة سلا,Commune Sale,
دليل المساطر الإدارية,جماعة سلا,Commune Sale,
إعداد المخطط المديري للمعلوميات,جماعة سلا,Commune Sale,
التدبير الرقمي للمكتب الجماعي لحفظ الصحة,جماعة سلا,Commune Sale,
التدبير الرقمي لمراقبة خدمات النظافة والإنارة العمومية,جماعة سلا,Commune Sale,
التدبير الرقمي لمتابعة استهلاك الماء والكهرباء والهاتف,جماعة سلا,Commune Sale,
التدبير الالكتروني للوثائق,جماعة سلا,Commune Sale,
استكمال العمل بمنصة تدبير المراسلات الرقمية,جماعة سلا,Commune Sale,
التدبير الرقمي للميزانية,جماعة سلا,Commune Sale,
تدبير الطلبيات الجماعية,جماعة سلا,Commune Sale,
التدبير الرقمي للموارد البشرية,جماعة سلا,Commune Sale,
التدبير الرقمي للافتحاص والمراقبة الداخلية.,جماعة سلا,Commune Sale,
آلية للتتبع الرقمي لمؤشرات الأداء وتصميم لوحة القيادة,جماعة سلا,Commune Sale,
إعداد مصنف للقرارات الإدارية للجماعة,جماعة سلا,Commune Sale,
إعداد دليل مرجعي للوظائف والمهام الجماعية,جماعة سلا,Commune Sale,
إعداد وثائق الافتحاص والمراقبة الداخلية,جماعة سلا,Commune Sale,
المكتبة القانونية,جماعة سلا,Commune Sale,
تنظيم الأرشيف,جماعة سلا,Commune Sale,
تدبير المشاريع وتتبعها,جماعة سلا,Commune Sale,
نظام المعلومات الجغرافية,جماعة سلا,Commune Sale,
التدبير الرقمي للدعم الممنوح للجمعيات,جماعة سلا,Commune Sale,
تجديد وتحديث البنيات الأساسية لإدارة الشبكات المعلوماتية,جماعة سلا,Commune Sale,
إنشاء قواعد المعطيات الجماعية,جماعة سلا,Commune Sale,
وضع سياسة لحماية أنظمة المعلومات الجماعية,جماعة سلا,Commune Sale,
اعتماد التطبيقات المحمولة,جماعة سلا,Commune Sale,
تحيين قاعدة المعطيات المتعلقة بالوعاء الضريبي,جماعة سلا,Commune Sale,
إعداد وتنفيذ خطة لقيادة التغيير لاعتماد التحول الرقمي,جماعة سلا,Commune Sale,
تطبيق تتبع تنفيذ برنامج عمل الجماعة,جماعة سلا,Commune Sale,
اعتماد الميزانية التشاركية في الميزانيات السنوية,جماعة سطات,Commune Settat,
تقوية دور هيئة المساواة وتكافؤ الفرص ومقاربة النوع,جماعة سطات,Commune Settat,
تعميم رقمنة الخدمات والمصالح الجماعية,جماعة سطات,Commune Settat,
خلق آلية دائمة للتحاور,جماعة سطات,Commune Settat,
تنظيم تكوينات في مجال التمكين الاقتصادي للنساء,جماعة بن سليمان,Commune Benslimane,
إعداد ميثاق ولوج المرأة للمرافق العمومية,جماعة بن سليمان,Commune Benslimane,
إعداد ميثاق مشترك لدعم الجمعيات المحلية,جماعة بن سليمان,Commune Benslimane,
إنجاز بنك مشاريع قابلة للتنفيذ لصالح الجمعيات المحلية,جماعة بن سليمان,Commune Benslimane,
انجازتكوينات في مجال التحول الرقمي,جماعة بن سليمان,Commune Benslimane,
الإستقبال والتشوير الداخلي,جماعة آسفي,Commune Safi,
خلق شبكة إلكترونية داخلية (intranet),جماعة آسفي,Commune Safi,
آسفي مدينة خضراء ونظيفة,جماعة آسفي,Commune Safi,
تسويق برنامج عمل الجماعة,جماعة آسفي,Commune Safi,
مبادرات مواطنة للأحياء النظيفة,جماعة آسفي,Commune Safi,
اللقاءات التشاورية المفتوحة.,جماعة آسفي,Commune Safi,
* خلق لجنة تنفيذ برنامج عمل الجماعة,جماعة الصويرة,Commune Essaouira,
* تعميم المعلومات و المعطيات,جماعة الصويرة,Commune Essaouira,
* تفعيل تطبيق للهواتف الذكية,جماعة الصويرة,Commune Essaouira,
* مصلحة الأرشيف,جماعة الصويرة,Commune Essaouira,
* تجهيز مصلحة الإعلام و التواصل,جماعة الصويرة,Commune Essaouira,
* ميزانية المواطن,جماعة الصويرة,Commune Essaouira,
* الميزانية التشاركية,جماعة الصويرة,Commune Essaouira,
* خميس التشاور - نهاية كل شهر-,جماعة الصويرة,Commune Essaouira,
* تقوية اشتغال الهيئة,جماعة الصويرة,Commune Essaouira,
* استثمار مناسبة المهرجانات الثقافية و الرياضية و الفنية,جماعة الصويرة,Commune Essaouira,
إطلاق بوابة المشاركة المواطنة digiessaouira.org,جماعة الصويرة,Commune Essaouira,
رقمنة الخدمات,جماعة مراكش,Commune Marrakech,الرقمنة
تحيين الموفع الالكتروني للجماعة,جماعة القصر الكبير,Commune Ksar Kbir,
احداث و تهيئة الولوجيات للمرافق العمومية لفائدة الاشخاص في وضعية اعاقة,جماعة القصر الكبير,Commune Ksar Kbir,
اعداد و ترويج كبسولات اشهارية حول المعالم التاريخية و المؤهلات السياحية لمدينة القصر الكبير,جماعة القصر الكبير,Commune Ksar Kbir,
دورات تكوينية لفائدة هيئة المساواة و تكافؤ الفرص و مقاربة النوع و المجالس الاستشارية المحدثة بجماعة القصر الكبير,جماعة القصر الكبير,Commune Ksar Kbir,
تعميم الولوجيات بالمؤسسات والمرافق العمومية وإحداث الشباك الوحيد الخاص بالأشخاص في وضعية إعاقة بالجماعة.,جماعة الفنيدق,Commune Fnideq,
إحداث مكتب المواطن,جماعة الفنيدق,Commune Fnideq,
تقوية القدرات المؤسساتية والتنظيمية لجمعيات المجتمع المدني بالفنيدق,جماعة الفنيدق,Commune Fnideq,
تعزيز التشوير الداخلي والخارجي باللغة الأمازيغية بالمرافق الجماعية والشوارع الرئيسية للمدينة,جماعة الفنيدق,Commune Fnideq,
إحداث الهيئة الاستشارية للشباب بجماعة الفنيدق,جماعة الفنيدق,Commune Fnideq,
تعميم نظام العنونة بتراب الجماعة مع إبراز المؤهلات التجارية والسياحية للمدينة,جماعة الفنيدق,Commune Fnideq,
تنظيم المعارض والأيام التجارية بالمدينة,جماعة الفنيدق,Commune Fnideq,
"تنظيم مهرجان "" العمارة الثقافي الفني والرياضي "" بمدينة الفنيدق",جماعة الفنيدق,Commune Fnideq,
إحداث مكتب الضبط الرقمي بالموقع الرسمي لجماعة الفنيدق,جماعة الفنيدق,Commune Fnideq,
إحداث الهيئة الاستشارية للقضايا الاقتصادية بجماعة الفنيدق,جماعة الفنيدق,Commune Fnideq,
تحيين وتفعيل البوابة الكترونية لجماعة الفنيدق,جماعة الفنيدق,Commune Fnideq,
تفعيل النشر الاستباقي للمعلومات,جماعة مرتيل,Commune Martil,
اشراك المواطنات والمواطنين في تتبع برنامج عمل الجماعة 2022-2027,جماعة مرتيل,Commune Martil,
احداث هيئات استشارية بالجماعة,جماعة مرتيل,Commune Martil,
هيكلة وتطوير البوابة الالكترونية للجماعة لتستجيب لمتطلبات الجماعة المنفتحة,جماعة مرتيل,Commune Martil,
احداث مراحيض صديقة للبيئة وولوجيات بشاطئ مرتيل,جماعة مرتيل,Commune Martil,
إحداث الولوجيات بجميع المرافق الجماعية وفق مقاربة تشاركية,جماعة المضيق,Commune Mdiq,
تعزيز المشاركة المواطنة من خلال أليات العرائض,جماعة المضيق,Commune Mdiq,
تعزيز النجاعة الطاقية من خلال تعميم المصابيح الاقتصادية LED بشبكة الانارة العمومية,جماعة المضيق,Commune Mdiq,
إحداث هيئة استشارية للبيئة والمناخ,جماعة المضيق,Commune Mdiq,
توفير وتجهيز فضاء لعرض المنتوجات المجالية,جماعة المضيق,Commune Mdiq,
توعية المواطنين بالمنصات الرقمية للخدمات الجماعية الموجودة,جماعة المضيق,Commune Mdiq,
خلق مركز الخدمة المحلية للطاقة والمناخ,جماعة المضيق,Commune Mdiq,
تنزيل نظام العنونة,جماعة المضيق,Commune Mdiq,
المشاركة المواطنة,جماعة وزان,Commune Ouezzane,
إعداد خطة للتسويق الترابي لمدينة وزان,جماعة وزان,Commune Ouezzane,
إعداد الميزانية التشاركية,جماعة وزان,Commune Ouezzane,
إحداث كشك للإرشاد والتوجيه السياحي بمدينة وزان,جماعة وزان,Commune Ouezzane,
تعزيز الهوية البصرية مع تعميم اللون الأخضر وتأهيل واجهات المباني,جماعة وزان,Commune Ouezzane,
هيكلة الهيئة الاستشارية للثقافة,جماعة وزان,Commune Ouezzane,
تنظيم مهرجان موسيقى الجبل بوزان,جماعة وزان,Commune Ouezzane,
إحداث وتهيئة مراحيض عمومية بمدينة وزان,جماعة وزان,Commune Ouezzane,
تحسيس وتوعية الساكنة بالتأثير السلبي للنفايات بواسطة خلق مسابقات بيئية بالاحياء والمدارس,جماعة وزان,Commune Ouezzane,
انجاز مشروع شبكة الصرف الصحي بمدشر غدير الدفلة جماعة ملوسة,جماعة ملوسة,Commune Melloussa,
عقد لقاءات تحسيسه للمحافظة على البيئة,جماعة ملوسة,Commune Melloussa,
إعداد فيديو توضيحي مبسط للتعريف بهاته المنصات واشهارها وكيفية ولوجها نشره بالموقع الرسمي للجماعة ومواقعها التواصلية,جماعة ملوسة,Commune Melloussa,
تنظيم ورشات للتعريف بهته المنصات وكيفية استعمالها لفائدة المواطنات والمواطنين وفعاليات المجتمع المدني، وذلك بكل من: -دار الشباب ملوسة -الثانوية الإعدادية سيدي أحمد بن عجيبة -دار الفتاة -مركز القرب -دار الطالب والطالبة -مركز ملوسة 2,جماعة ملوسة,Commune Melloussa,
تعليق ملصقات ومنشورات لهذا الغرض بكل من مقرات المؤسسات العمومية والاسواق بتراب الجماعة,جماعة ملوسة,Commune Melloussa,
تقوية العلاقة بين المواطن والإدارة عبر الاجتماعات المفتوحة والحملات التحسيسية,جماعة ملوسة,Commune Melloussa,
تنظيم لقاءات تحسيسية وتوعوية مع المجتمع المدني والمواطنين قصد اطلاعهم على الخدمات التي تقدمها الجماعة,جماعة ملوسة,Commune Melloussa,
إحداث ملاعب للقرب,جماعة سيدي بنور,Commune Sidi Bennour,
إحداث ولوجيات,جماعة سيدي بنور,Commune Sidi Bennour,
استغلال المياه المعالجة لري المساحات الخضراء,جماعة سيدي بنور,Commune Sidi Bennour,
بحث سبل للتخلص من الكلاب الضالة,جماعة سيدي بنور,Commune Sidi Bennour,
تاهيل وتنمية الاحياء ناقصة التجهيز,جماعة مديونة,Commune Mediouna,
الاطلاع على مقررات المجلس,جماعة مديونة,Commune Mediouna,
الاهتمام بالمجال الصحي والاجتماعي للمرأة في وضعية صعبة بجماعة مديونة.,جماعة مديونة,Commune Mediouna,
تهيئة المساحات الخضراء بجماعة مديونة,جماعة مديونة,Commune Mediouna,
مشروع : إحداث آلية للحوار والتشاور(مجلس الشباب والشابات),جماعة عين حرودة,Commune ain herrouda,
مشروع : إحداث آلية للحوار والتشاور (الهيئة الإستشارية للأشخاص في وضعية إعاقة),جماعة عين حرودة,Commune ain herrouda,
مشروع : اعتماد وتفعيل الميزانية التشاركية,جماعة عين حرودة,Commune ain herrouda,
مشروع : إحداث وتطوير وتسويق الهوية الرقمية لجماعة عين حرودة,جماعة عين حرودة,Commune ain herrouda,
مشروع : عين حرودة جماعة ولوجة,جماعة عين حرودة,Commune ain herrouda,
مشروع : مهرجان بالوما للتبوريدة,جماعة عين حرودة,Commune ain herrouda,
مشروع : التشجير وتوسيع وصيانة المساحات الخضراء,جماعة عين حرودة,Commune ain herrouda,
مشروع : شواطئ نظيفة,جماعة عين حرودة,Commune ain herrouda,
تقوية القدرات في مجال الانفتاح,جماعة بوسكورة,Commune Bouskoura,
تعميم رقمنة بين جميع مصالح الجماعة,جماعة بوسكورة,Commune Bouskoura,
تنفيذ أدوات المشاركة المواطنة,جماعة بوسكورة,Commune Bouskoura,
الرقمنة من أجل خدمات جماعية ذات جودة وفعالية,جماعة دار بوعزة,Commune Dar Bouazza,
إحداث مكتب التواصل و الإرشاد,جماعة دار بوعزة,Commune Dar Bouazza,
النشر الاستباقي للمعلومات الأولية و الولوج للمعلومة,جماعة دار بوعزة,Commune Dar Bouazza,
عقد لقاءات تواصلية سنوية لتتبع تنفيذ برامج الجماعة,جماعة تنغير,Commune Tinghir,
دعم قدرات الهيئات التشاورية والمجتمع المدني,جماعة تنغير,Commune Tinghir,
الميزانية التشاركية,جماعة تنغير,Commune Tinghir,
التواصل الإلكتروني التفاعلي,جماعة تنغير,Commune Tinghir,
إعداد ونشر ميزانية المواطن,جماعة تنغير,Commune Tinghir,
تجويد الخدمات الإدارية,جماعة تنغير,Commune Tinghir,
تحسين خدمة التطهير الصلب,جماعة تنغير,Commune Tinghir,
إحداث ملاعب القرب,جماعة تنغير,Commune Tinghir,
تأهيل الأحياء ناقصة التجهيز,جماعة تنغير,Commune Tinghir,
احداث مركز سوسيو ثقافي للمرأة و الطفل,جماعة أرفود,Commune Arfoud,
احداث دار الصانعة,جماعة أرفود,Commune Arfoud,
إحداث دار الطالبة,جماعة أرفود,Commune Arfoud,
تفعيل مكتب التواصل و الاعلام,جماعة أرفود,Commune Arfoud,
رقمنة الإدارة و خلق مكتب ضبط رقمي,جماعة أرفود,Commune Arfoud,
إحداث فضاءات خضراء جديدة بالمدينة,جماعة أرفود,Commune Arfoud,
التشجير بالمدينة,جماعة أرفود,Commune Arfoud,
إحداث مشروع لإعادة معالجة المياه العادة واستعمالها في سقي المجال الاخضر,جماعة أرفود,Commune Arfoud,
إحداث ملاعب القرب بمختلف أحياء المدينة,جماعة أرفود,Commune Arfoud,
حفر الابار بالدواوير التابعة لعمالة ميدلت.,المجلس الإقليمي ميدلت,Province Midelt,
اشغال تهيئة منابع المياه بدواوير تبوفروت و ايت علي اوسو وتسرولين جماعة ايت يحيى,المجلس الإقليمي ميدلت,Province Midelt,
احدات شركة التنمية ميدلت,المجلس الإقليمي ميدلت,Province Midelt,
احدات موقع الكتروني خاص بالمجلس الاقليمي,المجلس الإقليمي ميدلت,Province Midelt,
استصلاح و فتح المسالك القروية التابعة لجماعة ايتزار,المجلس الإقليمي ميدلت,Province Midelt,
استصلاح و فتح المسالك القروية التابعة لجماعة سيدي يحيى ايوسف,المجلس الإقليمي ميدلت,Province Midelt,
استصلاح و فتح المسالك القروية التابعة لجماعة ايت يحيى,المجلس الإقليمي ميدلت,Province Midelt,
استصلاح و فتح المسالك القروية التابعة لجماعة ايت بن يعقوب,المجلس الإقليمي ميدلت,Province Midelt,
استصلاح و فتح المسالك القروية التابعة ل جماعة ايت عياش,المجلس الإقليمي ميدلت,Province Midelt,
