text,ground_truth,prediction,confidence
اغفال قيمة الجمعيات المكونة للهيئات في وضعها ضمن اهتمامات المجلس و في الدعم المادي,negative,negative,0.85
غياب تواصل حقيقي بين المواطن والجهة,negative,negative,0.85
غياب التواصل بين المجتمع المدني ومسؤولي الجهة,negative,negative,0.85
فئة كبيرة من المواطنين ليست لديهم معرفة وثقافة رقمية,negative,negative,0.7
عدم وجود خلية للتواصل,negative,negative,0.85
غياب اجتماعات للتنسيق والتوجيه وتبني خارطة طريق لكشاركة الجمعيات والهيئات والمواطنين في الشان الجهوي,neutral,negative,0.7
صعوبة الولوج للمعلومة,negative,negative,0.85
خلط وعدم فهم ادوار الهيئات الاستشارية,negative,negative,0.85
عدم معرفة اختصاصات الجهة ومراحل المخطط الجهوي للتنمية,negative,negative,0.7
تهميش المجتمع المدني,negative,negative,0.85
عدم تكافؤ الفرص,negative,negative,0.85
"هناك إشكاليتين أجدها هما : 
1- عدم الرد على الرسائل الالكترونية الموجهة لرئيس جماعة سلا ولا من طرف رؤساء الأقسام فيها , 
2-عدم وجود وثائق محينة لطلبات العروض 2023 في الموقع الالكتروني للجماعة و هذا ضرب في الحق الحصول على المعلومة",negative,negative,0.85
عدم تمكن المجتمع المدني من المشاركة في تدبير الشان الجهوي سواءا عبر إعداد اراء إستشارية من طرف الهيئات الإستشارية الثلاث او مذكرات إقتراحيةومن طرف باقي النسيج الجمعوي,negative,negative,0.85
absence d’éclairage sur la zone de sortie de la ville vers khenifra ainsi que l'amenagement de l'entree sud de la ville,neutral,negative,0.75
"إشكاليات التدبير المفوض
تأخر في التدخل
نقص المداومة
مشاكل التطهير السائل
نقص الفعالية في معالجة النفايات
تواجد معظم نقط تجميع النفايات وسط الأحياء

إشكاليات تدبير المقابر
مشاكل في تسيير المقابر
غياب المعلومة حول تدبير المقابر

مشاكل ملاعب القرب والمنتزهات
مشكل صيانة ملاعب القرب والمنتزهات",neutral,negative,0.85
